SYMBOL BIOTYPE
1700022A22Rik lncRNA
Arf5 protein_coding
4930523O13Rik lncRNA
4930548G14Rik lncRNA
4930551O13Rik lncRNA
1700054O19Rik TEC
4921534A09Rik TEC
Anxa11 protein_coding
Ankmy2 protein_coding
Anxa11os lncRNA
4930444P10Rik protein_coding
4930556G01Rik lncRNA
5530402G07Rik TEC
A730081D07Rik lncRNA
1600017P15Rik TEC
Actrt3 protein_coding
4933413J09Rik lncRNA
1520401A03Rik protein_coding
Abcb1a protein_coding
Agmo protein_coding
Abcb1b protein_coding
9530082P21Rik lncRNA
4933429H19Rik lncRNA
7330423F06Rik TEC
Abcb4 protein_coding
4930517L18Rik lncRNA
A230108P19Rik lncRNA
3222401L13Rik lncRNA
Arg1 protein_coding
4930515L19Rik lncRNA
Actrt1 protein_coding
4930428E07Rik lncRNA
4632433K11Rik protein_coding
Akap7 protein_coding
Aard protein_coding
4921511E07Rik TEC
Adtrp protein_coding
Angptl6 protein_coding
AA413626 processed_pseudogene
Ankrd6 protein_coding
1700061E18Rik lncRNA
Ap1b1 protein_coding
Arf4os lncRNA
Arf4 protein_coding
9530022L04Rik TEC
1700015H07Rik lncRNA
Arl4a protein_coding
Arl4aos lncRNA
9930004E17Rik lncRNA
Apln protein_coding
4933421O10Rik lncRNA
B230112G18Rik TEC
Asb14 protein_coding
4930401C15Rik lncRNA
4933402C05Rik lncRNA
Appl1 protein_coding
AC119805.1 snoRNA
1700061F12Rik lncRNA
A730045E13Rik lncRNA
4930412O13Rik protein_coding
9130214F15Rik TEC
4933431C10Rik TEC
9230102O04Rik protein_coding
4930478E11Rik lncRNA
4930486I03Rik lncRNA
4930588K23Rik lncRNA
Adam18 protein_coding
Amdhd2 protein_coding
Atp5c1 protein_coding
Arhgap18 protein_coding
AC138605.1 snRNA
Arhgef3 protein_coding
Akirin2 protein_coding
Atp6v0c protein_coding
A330076C08Rik lncRNA
1700029N11Rik lncRNA
Adam3 protein_coding
Atp6v1f protein_coding
6720483E21Rik lncRNA
Atp6v1fnb protein_coding
1700105P06Rik lncRNA
2700081O15Rik protein_coding
Aifm1 protein_coding
Adam5 protein_coding
Actl6a protein_coding
4930579H20Rik lncRNA
4930558F17Rik lncRNA
2510002D24Rik protein_coding
AC174780.1 processed_pseudogene
Atl3 protein_coding
1700108N06Rik lncRNA
4930437M23Rik lncRNA
1700003C15Rik lncRNA
4933402N22Rik protein_coding
Adam32 protein_coding
Ankrd36 protein_coding
1700084C06Rik lncRNA
1700040F17Rik lncRNA
Aurkc protein_coding
Atxn1 protein_coding
Abca17 protein_coding
2010309G21Rik lncRNA
4930453C13Rik lncRNA
5033430I15Rik lncRNA
Adam9 protein_coding
4930519F09Rik transcribed_processed_pseudogene
A530030E21Rik TEC
2310057J18Rik protein_coding
8030442B05Rik lncRNA
4930568A13Rik lncRNA
4933403L11Rik TEC
Abca3 protein_coding
B3gnt5 protein_coding
Actr8 protein_coding
4930419G24Rik lncRNA
B3gat2 protein_coding
9330159F19Rik protein_coding
A930003A15Rik protein_coding
Ahcyl2 protein_coding
5830408C22Rik lncRNA
1700009N14Rik protein_coding
Aco1 protein_coding
B230217J21Rik lncRNA
2010001K21Rik lncRNA
9330154K18Rik lncRNA
Arhgap36 protein_coding
AC124542.1 unprocessed_pseudogene
4930572O03Rik protein_coding
3110039M20Rik lncRNA
4930519H02Rik lncRNA
Atg4d protein_coding
1810007C17Rik lncRNA
5430421F17Rik lncRNA
2810047C21Rik1 transcribed_unprocessed_pseudogene
4930431L21Rik lncRNA
4930502C17Rik TEC
Aebp1 protein_coding
Arap3 protein_coding
1700008C04Rik lncRNA
9130401M01Rik protein_coding
Ap1m2 protein_coding
Atad2 protein_coding
1700026N04Rik lncRNA
4930528J11Rik TEC
1700092M07Rik protein_coding
A930002C04Rik lncRNA
4930471G24Rik lncRNA
4931429P17Rik lncRNA
A330033J07Rik lncRNA
Abcc5 protein_coding
4930509K18Rik lncRNA
A330048O09Rik lncRNA
4933428C19Rik lncRNA
Aptx protein_coding
A830005F24Rik protein_coding
6720427I07Rik lncRNA
2010320O07Rik lncRNA
1700086O06Rik lncRNA
Anxa13 protein_coding
1700017M07Rik lncRNA
Atp11b protein_coding
Ap4s1 protein_coding
Ap2m1 protein_coding
B4galt1 protein_coding
A230081H15Rik TEC
Ankrd16 protein_coding
A630012P03Rik lncRNA
Abcf3 protein_coding
Adgrb3 protein_coding
8430422M14Rik TEC
Arhgap26 protein_coding
1700095J07Rik lncRNA
B230207O21Rik processed_pseudogene
4930544F09Rik lncRNA
Acad9 protein_coding
Aqp7 protein_coding
8030445P17Rik TEC
A730071L15Rik protein_coding
2900022M07Rik TEC
2900002M20Rik TEC
4931408C20Rik protein_coding
Aqp3 protein_coding
A830082N09Rik lncRNA
6430710M23Rik TEC
Arhgap5 protein_coding
Anxa5 protein_coding
1700031P21Rik lncRNA
4933416I08Rik protein_coding
1810009A15Rik protein_coding
Akap6 protein_coding
Alg3 protein_coding
2900092C05Rik protein_coding
AW822252 transcribed_unprocessed_pseudogene
1700012C14Rik lncRNA
1700013H16Rik protein_coding
Ash2l protein_coding
AC139131.1 lncRNA
1810062G17Rik protein_coding
4931428L18Rik protein_coding
1700047O18Rik TEC
1700030L22Rik lncRNA
1700060O08Rik lncRNA
4933412E24Rik protein_coding
Atf1-ps processed_pseudogene
1700104L18Rik lncRNA
AB124611 protein_coding
9930014A18Rik lncRNA
Aspn protein_coding
A1bg protein_coding
4930402D18Rik lncRNA
3830403N18Rik protein_coding
1810019N24Rik lncRNA
1600025M17Rik lncRNA
B3gat3 protein_coding
