,Feature,Segment1.Slope,Segment2.Slope,Segment3.Slope,Segment4.Slope,Segment5.Slope,Segment6.Slope,Segment7.Slope,Segment8.Slope,Segment1.Trend,Segment2.Trend,Segment3.Trend,Segment4.Trend,Segment5.Trend,Segment6.Trend,Segment7.Trend,Segment8.Trend,Segment1.Pvalue,Segment2.Pvalue,Segment3.Pvalue,Segment4.Pvalue,Segment5.Pvalue,Segment6.Pvalue,Segment7.Pvalue,Segment8.Pvalue,Breakpoint1,Breakpoint2,Breakpoint3,Breakpoint4,Breakpoint5,Breakpoint6,Breakpoint7,AdjustedR2,X3m_s1.Trend,X3m_s2.Trend,X3m_s3.Trend,X6m_s1.Trend,X6m_s2.Trend,X6m_s3.Trend,X6m_s4.Trend,X9m_s1.Trend,X9m_s2.Trend,X9m_s3.Trend,X9m_s4.Trend,X12m_s1.Trend,X12m_s2.Trend,X12m_s3.Trend,X12m_s4.Trend,X12m_s5.Trend,X15m_s1.Trend,X15m_s2.Trend,X15m_s3.Trend,X15m_s4.Trend,X18m_s1.Trend,X18m_s2.Trend,X18m_s3.Trend,X18m_s4.Trend,X21m_s1.Trend,X21m_s2.Trend,X21m_s3.Trend,X24m_s1.Trend,X24m_s2.Trend,X27m_s1.Trend,X27m_s2.Trend,X27m_s3.Trend
Actn2,Actn2,0.035363,92.107,-405.99,-0.10904,NA,NA,NA,NA,0,0,-1,0,NA,NA,NA,NA,0.474526070208784,0.287163891952489,0.0732541082653262,0.379826130141647,NA,NA,NA,NA,11.9726749953048,14.4764268088769,15.0425346409643,NA,NA,NA,NA,0.581312373004873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
Ehd2,Ehd2,-6.422,60.918,-2516.2,90.639,-2.4801,NA,NA,NA,0,0,-1,0,0,NA,NA,NA,0.154476907217462,0.445379389991849,0.0516080105529757,0.455908594257481,0.303433395126847,NA,NA,NA,11.5869832352974,14.9697560929196,15.1454521034415,18.1535821829211,NA,NA,NA,0.579350048514442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
Slc7a10,Slc7a10,-0.90339,12.489,-885.62,0.66314,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,0.222650814520277,0.0547801511098365,0.230820561865897,0.179703223450895,NA,NA,NA,NA,11.6477222101969,15.003550332389,15.0526229724051,NA,NA,NA,NA,0.57867541454749,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slc5a9,Slc5a9,0.48133,-0.13148,255.27,-9114.5,243.19,NA,NA,NA,0,0,1,0,0,NA,NA,NA,0.218035025097113,0.3800242184539,0.062991281614158,0.113956132576554,0.238352238541339,NA,NA,NA,9.5154209417912,20.9581663020896,23.9047372198766,24.0651597201781,NA,NA,NA,0.578459605757568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
Adh1,Adh1,3.62003314994054,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3.03583835940844e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5736012719629,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gm21596,Gm21596,-229.94,-0.010543,NA,NA,NA,NA,NA,NA,-1,0,NA,NA,NA,NA,NA,NA,0.0683046583051083,0.419136495246612,NA,NA,NA,NA,NA,NA,2.99300348524549,NA,NA,NA,NA,NA,NA,0.569607096306914,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcdh1,Pcdh1,-3.3739,38.09,-4409.3,1.6597,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,0.215799391369143,0.0639630772021816,0.180352269264654,0.234035171984129,NA,NA,NA,NA,11.4698569668001,15.0255922792869,15.056387154,NA,NA,NA,NA,0.566992909503397,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sdc1,Sdc1,6.8571,-421.81,87.86,-2097.5,3.3073,NA,NA,NA,0,0,0,-1,0,NA,NA,NA,0.22870819788221,0.320815805719996,0.414475774442869,0.064213860066465,0.150316213307554,NA,NA,NA,8.96826150568396,9.51359127604545,14.9194384336577,15.0481434268608,NA,NA,NA,0.565665412875675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
Adam33,Adam33,-20.525,1.1696,NA,NA,NA,NA,NA,NA,-1,0,NA,NA,NA,NA,NA,NA,0.0637469541017888,0.147303997154717,NA,NA,NA,NA,NA,NA,6.69974775877607,NA,NA,NA,NA,NA,NA,0.564228437172917,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rpf2,Rpf2,1.2692,-7.8798,8.0916,-1.2535,NA,NA,NA,NA,0,0,0,-1,NA,NA,NA,NA,0.119058600372034,0.451856877978262,0.45769912180777,0.0799182426359291,NA,NA,NA,NA,10.7372147303573,13.8026250334766,16.9619993734795,NA,NA,NA,NA,0.562308870974526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Gm16001,Gm16001,3.4207,-163.27,36.006,-10.586,0.33024,-5.2191,-0.034889,NA,1,0,0,0,0,0,0,NA,0.0538639685033432,0.171304561664556,0.186971339477106,0.328154727001562,0.263319042475654,0.457058216260785,0.476021657277747,NA,5.9856132096704,6.57722794728606,9.65652255759114,12.1264913911593,20.9639415546645,21.1853588780167,NA,0.560933732835647,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blk,Blk,-11682,0.21679,NA,NA,NA,NA,NA,NA,-1,0,NA,NA,NA,NA,NA,NA,0.0654085256134953,0.134803761583185,NA,NA,NA,NA,NA,NA,2.94381070248421,NA,NA,NA,NA,NA,NA,0.560047186953903,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gsn,Gsn,-68.635,1055.3,-30383,6361.9,-4.6983,NA,NA,NA,0,0,-1,0,0,NA,NA,NA,0.182680590332715,0.428300238820876,0.0559098580187845,0.295809918897016,0.46742693447057,NA,NA,NA,11.7376750187499,14.945950228648,15.5592618773298,18.0390650342956,NA,NA,NA,0.558722744667026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
Klhl38,Klhl38,-0.0078571,1.0954,-1.0052,0.11281,NA,NA,NA,NA,0,0,-1,0,NA,NA,NA,NA,0.464610424684265,0.494887109755432,0.0600916011098305,0.248432139714146,NA,NA,NA,NA,11.9902212854545,14.8736466460552,18.1381127344606,NA,NA,NA,NA,0.556185873386643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
Penk,Penk,2.33579340013496,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0.000348915119000411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.551619903684438,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Col18a1,Col18a1,-1250.3,0.1019,NA,NA,NA,NA,NA,NA,-1,0,NA,NA,NA,NA,NA,NA,0.0648291950539124,0.405966367256193,NA,NA,NA,NA,NA,NA,3.06224919919601,NA,NA,NA,NA,NA,NA,0.547266625996387,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kdm5c,Kdm5c,-0.732290288260335,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,0.0865371884343993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.546761399494252,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Celf6,Celf6,0.15629,-10.473,0.32737,93.938,-19.109,NA,NA,NA,0,0,0,1,0,NA,NA,NA,0.269079725038603,0.326157485639157,0.153273474992263,0.0956831459704049,0.447656623466701,NA,NA,NA,11.8648164031411,12.144014146236,23.9744675503412,24.4635260090461,NA,NA,NA,0.54438886363368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Mtus1,Mtus1,-1468.9,1425.2,-472.47,522.02,-12.17,11.693,NA,NA,-1,0,0,0,-1,0,NA,NA,0.0989494671548145,0.110216148532467,0.242951116841343,0.247411145095429,0.0862884053090139,0.194575213314064,NA,NA,4.48600827768275,6.72960164876412,10.5155645707185,12.1015786639638,23.3050738890149,NA,NA,0.543049484639742,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0
Itgb2,Itgb2,3.2944,33.128,-1583.3,4.0533,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,0.217133591805586,0.0721606769809188,0.334352273901317,0.111322897277774,NA,NA,NA,NA,11.8624199547045,14.973239069406,15.0531478618323,NA,NA,NA,NA,0.540161126942674,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm47586,Gm47586,-1361.4,-0.10159,NA,NA,NA,NA,NA,NA,-1,0,NA,NA,NA,NA,NA,NA,0.0800776944204423,0.341157170626949,NA,NA,NA,NA,NA,NA,2.99695348254613,NA,NA,NA,NA,NA,NA,0.537691804951937,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tk2,Tk2,-5.7439,0.70933,NA,NA,NA,NA,NA,NA,-1,0,NA,NA,NA,NA,NA,NA,0.0625162320386194,0.282367574903154,NA,NA,NA,NA,NA,NA,12.2351318327508,NA,NA,NA,NA,NA,NA,0.532302931929324,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm44597,Gm44597,-2.2366,0.17761,NA,NA,NA,NA,NA,NA,-1,0,NA,NA,NA,NA,NA,NA,0.0638175724125662,0.22436371159552,NA,NA,NA,NA,NA,NA,9.13468245906653,NA,NA,NA,NA,NA,NA,0.529385413368644,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
