,Feature,Segment1.Slope,Segment2.Slope,Segment3.Slope,Segment4.Slope,Segment5.Slope,Segment6.Slope,Segment1.Trend,Segment2.Trend,Segment3.Trend,Segment4.Trend,Segment5.Trend,Segment6.Trend,Segment1.Pvalue,Segment2.Pvalue,Segment3.Pvalue,Segment4.Pvalue,Segment5.Pvalue,Segment6.Pvalue,Breakpoint1,Breakpoint2,Breakpoint3,Breakpoint4,Breakpoint5,AdjustedR2,X3m_s1.Trend,X3m_s2.Trend,X3m_s3.Trend,X3m_s4.Trend,X3m_s5.Trend,X6m_s1.Trend,X6m_s2.Trend,X6m_s3.Trend,X6m_s4.Trend,X6m_s5.Trend,X9m_s1.Trend,X9m_s2.Trend,X9m_s3.Trend,X9m_s4.Trend,X9m_s5.Trend,X9m_s6.Trend,X12m_s1.Trend,X12m_s2.Trend,X12m_s3.Trend,X12m_s4.Trend,X12m_s5.Trend,X15m_s1.Trend,X15m_s2.Trend,X15m_s3.Trend,X15m_s4.Trend,X15m_s5.Trend,X15m_s6.Trend,X18m_s1.Trend,X18m_s2.Trend,X18m_s3.Trend,X18m_s4.Trend,X21m_s1.Trend,X21m_s2.Trend,X21m_s3.Trend,X21m_s4.Trend,X21m_s5.Trend,X21m_s6.Trend,X24m_s1.Trend,X24m_s2.Trend,X24m_s3.Trend,X24m_s4.Trend,X27m_s1.Trend,X27m_s2.Trend,X27m_s3.Trend,X27m_s4.Trend
Upk3b,Upk3b,-5.51218263171077,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,1.26677749806742e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.352327726619483,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Napsa,Napsa,-0.66529,1.2881,NA,NA,NA,NA,0,1,NA,NA,NA,NA,0.179849123600459,0.0764944593989062,NA,NA,NA,NA,13.6058061732805,NA,NA,NA,NA,0.351588582526333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Psmd11,Psmd11,-8.11035049512041,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,4.96318832945427e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.351530214260952,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Arfrp1,Arfrp1,1.4073,-13.233,NA,NA,NA,NA,0,-1,NA,NA,NA,NA,0.366857636671189,0.0921166879395564,NA,NA,NA,NA,15.0187889081391,NA,NA,NA,NA,0.351182762836904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Aifm2,Aifm2,-1.85795318480761,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,0.0325643174873249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.351098196920885,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Kcnj14,Kcnj14,1.18014962405711,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.00011028736786272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.350785347480654,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Farsb,Farsb,150.57,-6.1197,NA,NA,NA,NA,0,-1,NA,NA,NA,NA,0.424479165621442,0.0625441229866716,NA,NA,NA,NA,3.58664861848071,NA,NA,NA,NA,0.350781976383122,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Plod1,Plod1,-17.0212079077544,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,1.10508988266653e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35003980381771,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Olfr148,Olfr148,-0.055974,1.0098,NA,NA,NA,NA,0,1,NA,NA,NA,NA,0.394327106149964,0.0826197308610404,NA,NA,NA,NA,17.8607733145101,NA,NA,NA,NA,0.34945497947972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3110067C02Rik,3110067C02Rik,-0.26617,0.68329,NA,NA,NA,NA,0,1,NA,NA,NA,NA,0.228956687344464,0.0795758615651075,NA,NA,NA,NA,14.4137667851232,NA,NA,NA,NA,0.349385020018823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
