Trendy genes	Module genes	Trendy genes:Module genes	Module genes:Hub genes	Trendy genes:Module genes:Hub genes
Ccdc85c	NA	NA	NA	NA
Gsr	NA	NA	NA	NA
Gm7984	NA	NA	NA	NA
Olfr1294	NA	NA	NA	NA
Jam2	NA	NA	NA	NA
Sgo2b	NA	NA	NA	NA
4933409G03Rik	NA	NA	NA	NA
Gsn	NA	NA	NA	NA
Gm18990	NA	NA	NA	NA
Fcgr3	NA	NA	NA	NA
Vcp	NA	NA	NA	NA
Skint4	NA	NA	NA	NA
Tsnax	NA	NA	NA	NA
Map1lc3a	NA	NA	NA	NA
Rab40b	NA	NA	NA	NA
Tgfbi	NA	NA	NA	NA
Rtl3	NA	NA	NA	NA
Fam136a	NA	NA	NA	NA
Grem2	NA	NA	NA	NA
Isca1	NA	NA	NA	NA
Eif3e	NA	NA	NA	NA
Hs3st3b1	NA	NA	NA	NA
Exoc2	NA	NA	NA	NA
Arpc5l	NA	NA	NA	NA
Vmn2r4	NA	NA	NA	NA
Sbk1	NA	NA	NA	NA
Phyhd1	NA	NA	NA	NA
Gm49238	NA	NA	NA	NA
Nav2	NA	NA	NA	NA
Nfkbib	NA	NA	NA	NA
Lonp2	NA	NA	NA	NA
Arhgef18	NA	NA	NA	NA
Pdcl3	NA	NA	NA	NA
Hephl1	NA	NA	NA	NA
Dpep1	NA	NA	NA	NA
Gm14895	NA	NA	NA	NA
Trem2	NA	NA	NA	NA
Elf3	NA	NA	NA	NA
Col6a1	NA	NA	NA	NA
Psmd4	NA	NA	NA	NA
Gm37639	NA	NA	NA	NA
Gm48366	NA	NA	NA	NA
Ifit3b	NA	NA	NA	NA
Maz	NA	NA	NA	NA
B230312C02Rik	NA	NA	NA	NA
Nomo1	NA	NA	NA	NA
Vgll3	NA	NA	NA	NA
Inpp5d	NA	NA	NA	NA
Arhgap44	NA	NA	NA	NA
Gm38404	NA	NA	NA	NA
Gpc1	NA	NA	NA	NA
Cxcl12	NA	NA	NA	NA
Cltb	NA	NA	NA	NA
Fer1l6	NA	NA	NA	NA
BC051142	NA	NA	NA	NA
Olfr780	NA	NA	NA	NA
Mpzl3	NA	NA	NA	NA
Cd34	NA	NA	NA	NA
Npc1	NA	NA	NA	NA
Olfr958	NA	NA	NA	NA
Dab2ip	NA	NA	NA	NA
Jak1	NA	NA	NA	NA
Plxdc2	NA	NA	NA	NA
Atp6v1f	NA	NA	NA	NA
Psma6	NA	NA	NA	NA
4921515E04Rik	NA	NA	NA	NA
Col22a1	NA	NA	NA	NA
Pcdh11x	NA	NA	NA	NA
