Trendy genes	Module genes	Trendy genes:Module genes	Trendy genes:Module genes:Hub genes
Gm7607	NA	NA	NA
Adgrg4	NA	NA	NA
Dag1	NA	NA	NA
Ckmt2	NA	NA	NA
Pip4p2	NA	NA	NA
Ogdhl	NA	NA	NA
Tiam2	NA	NA	NA
Fndc1	NA	NA	NA
Oxsr1	NA	NA	NA
Prnp	NA	NA	NA
Mkks	NA	NA	NA
Rpl36	NA	NA	NA
Macrod2	NA	NA	NA
Htatsf1	NA	NA	NA
Rab13	NA	NA	NA
Gm37703	NA	NA	NA
Tgm2	NA	NA	NA
Gm44443	NA	NA	NA
9430073C21Rik	NA	NA	NA
Ube2k	NA	NA	NA
1700031M16Rik	NA	NA	NA
Olfr1276	NA	NA	NA
Wdr35	NA	NA	NA
Ddx24	NA	NA	NA
Katnal2	NA	NA	NA
Abi3bp	NA	NA	NA
Sra1	NA	NA	NA
Ppp1cc	NA	NA	NA
Gm45205	NA	NA	NA
Mrm1	NA	NA	NA
Vezt	NA	NA	NA
Selenok	NA	NA	NA
Sugt1	NA	NA	NA
Ahcyl2	NA	NA	NA
Tram1	NA	NA	NA
Olfr196	NA	NA	NA
Vmn2r44	NA	NA	NA
Tbc1d20	NA	NA	NA
Wnt4	NA	NA	NA
Htra3	NA	NA	NA
Snap47	NA	NA	NA
Zfp981	NA	NA	NA
Dnajc7	NA	NA	NA
Sulf1	NA	NA	NA
Tent5a	NA	NA	NA
Ankrd31	NA	NA	NA
Gm7967	NA	NA	NA
Smad3	NA	NA	NA
Mlkl	NA	NA	NA
Arhgef7	NA	NA	NA
Pex13	NA	NA	NA
Adgrd1	NA	NA	NA
Slc12a6	NA	NA	NA
Eloc	NA	NA	NA
Pttg1ip	NA	NA	NA
Slc44a2	NA	NA	NA
Sf3b3	NA	NA	NA
Afg1l	NA	NA	NA
Ccny	NA	NA	NA
Podn	NA	NA	NA
Olfr559	NA	NA	NA
Prkcz	NA	NA	NA
Serping1	NA	NA	NA
Rps16	NA	NA	NA
Ibtk	NA	NA	NA
Rai14	NA	NA	NA
Oat	NA	NA	NA
Scaper	NA	NA	NA
Sf3b1	NA	NA	NA
Trub2	NA	NA	NA
Fbxo21	NA	NA	NA
Tgfb2	NA	NA	NA
Zfp316	NA	NA	NA
Tnxb	NA	NA	NA
Pcdhb18	NA	NA	NA
Rnf150	NA	NA	NA
Ache	NA	NA	NA
Psmb2	NA	NA	NA
Sult5a1	NA	NA	NA
Tecpr2	NA	NA	NA
Ube2e1	NA	NA	NA
Zfp410	NA	NA	NA
Adk	NA	NA	NA
Yrdc	NA	NA	NA
Adamts5	NA	NA	NA
Fez2	NA	NA	NA
Trim25	NA	NA	NA
Scin	NA	NA	NA
Cdkn2aip	NA	NA	NA
Irak3	NA	NA	NA
Tbc1d4	NA	NA	NA
Mlph	NA	NA	NA
Tmem159	NA	NA	NA
Clic5	NA	NA	NA
Pafah1b2	NA	NA	NA
Chic1	NA	NA	NA
Irak1	NA	NA	NA
Jak2	NA	NA	NA
Ncs1	NA	NA	NA
Fgl2	NA	NA	NA
Vps53	NA	NA	NA
Cst6	NA	NA	NA
Timp2	NA	NA	NA
Gzf1	NA	NA	NA
Vmn2r84	NA	NA	NA
Fdxr	NA	NA	NA
Pgghg	NA	NA	NA
Rhot2	NA	NA	NA
Haghl	NA	NA	NA
Ank3	NA	NA	NA
Spag17	NA	NA	NA
Cobl	NA	NA	NA
Rpl13	NA	NA	NA
Asrgl1	NA	NA	NA
D5Ertd579e	NA	NA	NA
Ganab	NA	NA	NA
Tax1bp1	NA	NA	NA
Tnfrsf1a	NA	NA	NA
Arhgef5	NA	NA	NA
Dnah11	NA	NA	NA
Klhl13	NA	NA	NA
Clstn1	NA	NA	NA
Fam53b	NA	NA	NA
Ccl6	NA	NA	NA
Arpc1b	NA	NA	NA
Crlf1	NA	NA	NA
Frat2	NA	NA	NA
Pcolce2	NA	NA	NA
Smim4	NA	NA	NA
Gm47641	NA	NA	NA
Ctxn3	NA	NA	NA
Cdk20	NA	NA	NA
Prss39	NA	NA	NA
Kynu	NA	NA	NA
Armcx4	NA	NA	NA
Relb	NA	NA	NA
Fitm2	NA	NA	NA
Tsg101	NA	NA	NA
Apol6	NA	NA	NA
Slc2a5	NA	NA	NA
Kctd9	NA	NA	NA
Clint1	NA	NA	NA
Ifngr1	NA	NA	NA
Cyp2c66	NA	NA	NA
Cmc1	NA	NA	NA
Tnmd	NA	NA	NA
Gm16223	NA	NA	NA
Wrnip1	NA	NA	NA
Mpc1	NA	NA	NA
Slc16a3	NA	NA	NA
Zfp652	NA	NA	NA
Echdc1	NA	NA	NA
Elob	NA	NA	NA
Etv6	NA	NA	NA
Rnd3	NA	NA	NA
Fto	NA	NA	NA
Iscu	NA	NA	NA
Elavl1	NA	NA	NA
Muc15	NA	NA	NA
Cdc37l1	NA	NA	NA
