Trendy genes	Module genes	Trendy genes:Module genes	Trendy genes:Module genes:Hub genes	Module genes:Hub genes
Cdkn1b	NA	NA	NA	NA
Gm4017	NA	NA	NA	NA
Pi16	NA	NA	NA	NA
Ubb	NA	NA	NA	NA
Fmod	NA	NA	NA	NA
B230303A05Rik	NA	NA	NA	NA
Gna12	NA	NA	NA	NA
Gprc5c	NA	NA	NA	NA
Olfr180	NA	NA	NA	NA
Clhc1	NA	NA	NA	NA
Olfr1366	NA	NA	NA	NA
Etf1	NA	NA	NA	NA
Olfr466	NA	NA	NA	NA
Tubb4a	NA	NA	NA	NA
Ugt3a1	NA	NA	NA	NA
0610009L18Rik	NA	NA	NA	NA
Mr1	NA	NA	NA	NA
Cdkl2	NA	NA	NA	NA
Mrps18a	NA	NA	NA	NA
Abcd4	NA	NA	NA	NA
Ssc5d	NA	NA	NA	NA
Golph3	NA	NA	NA	NA
Psmb3	NA	NA	NA	NA
Pex6	NA	NA	NA	NA
Npnt	NA	NA	NA	NA
Kcng4	NA	NA	NA	NA
Olfr943	NA	NA	NA	NA
Gm48328	NA	NA	NA	NA
Olfr873	NA	NA	NA	NA
Arhgef17	NA	NA	NA	NA
Slc11a2	NA	NA	NA	NA
Tada2a	NA	NA	NA	NA
Ccdc65	NA	NA	NA	NA
Slc35f3	NA	NA	NA	NA
Ano5	NA	NA	NA	NA
Ltbp1	NA	NA	NA	NA
Mup5	NA	NA	NA	NA
Zfp39	NA	NA	NA	NA
Lingo3	NA	NA	NA	NA
Egln3	NA	NA	NA	NA
Phf20	NA	NA	NA	NA
Olfr577	NA	NA	NA	NA
Mrgprg	NA	NA	NA	NA
Nme8	NA	NA	NA	NA
Tspan5	NA	NA	NA	NA
6720482G16Rik	NA	NA	NA	NA
Sorbs2	NA	NA	NA	NA
Exoc7	NA	NA	NA	NA
Park7	NA	NA	NA	NA
Mtpn	NA	NA	NA	NA
Gm47778	NA	NA	NA	NA
Taf9b	NA	NA	NA	NA
Plekha2	NA	NA	NA	NA
Synm	NA	NA	NA	NA
Lypd6	NA	NA	NA	NA
Spib	NA	NA	NA	NA
Srpk2	NA	NA	NA	NA
Olfr622	NA	NA	NA	NA
Gm42397	NA	NA	NA	NA
Mthfr	NA	NA	NA	NA
Cfap36	NA	NA	NA	NA
Boc	NA	NA	NA	NA
Lrp5	NA	NA	NA	NA
Ndufb2	NA	NA	NA	NA
Gm16283	NA	NA	NA	NA
Pitpnc1	NA	NA	NA	NA
Enpp5	NA	NA	NA	NA
Erp44	NA	NA	NA	NA
Gm43707	NA	NA	NA	NA
Ptprf	NA	NA	NA	NA
Clu	NA	NA	NA	NA
Sptbn1	NA	NA	NA	NA
Kdm3b	NA	NA	NA	NA
Adam3	NA	NA	NA	NA
Pdgfra	NA	NA	NA	NA
Igfals	NA	NA	NA	NA
Syt9	NA	NA	NA	NA
Ighv1-53	NA	NA	NA	NA
Dock3	NA	NA	NA	NA
Gpx4	NA	NA	NA	NA
Tspan7	NA	NA	NA	NA
Abcb1b	NA	NA	NA	NA
CT010467.1	NA	NA	NA	NA
Aplp2	NA	NA	NA	NA
Ubc	NA	NA	NA	NA
Stt3b	NA	NA	NA	NA
Pdia4	NA	NA	NA	NA
Kcne1l	NA	NA	NA	NA
Pfdn5	NA	NA	NA	NA
St8sia5	NA	NA	NA	NA
Atp6v1g1	NA	NA	NA	NA
Gm10636	NA	NA	NA	NA
Gm14305	NA	NA	NA	NA
Eif2ak4	NA	NA	NA	NA
Reep5	NA	NA	NA	NA
Nup210	NA	NA	NA	NA
Olfr1029	NA	NA	NA	NA
Sparc	NA	NA	NA	NA
Morn4	NA	NA	NA	NA
1110015O18Rik	NA	NA	NA	NA
Col6a2	NA	NA	NA	NA
Igfbp6	NA	NA	NA	NA
4930578M01Rik	NA	NA	NA	NA
Pdk1	NA	NA	NA	NA
Ccdc85c	NA	NA	NA	NA
Gsr	NA	NA	NA	NA
Gm7984	NA	NA	NA	NA
Olfr1294	NA	NA	NA	NA
Jam2	NA	NA	NA	NA
Sgo2b	NA	NA	NA	NA
4933409G03Rik	NA	NA	NA	NA
Gsn	NA	NA	NA	NA
Gm18990	NA	NA	NA	NA
Fcgr3	NA	NA	NA	NA
Vcp	NA	NA	NA	NA
Skint4	NA	NA	NA	NA
Tsnax	NA	NA	NA	NA
Map1lc3a	NA	NA	NA	NA
Rab40b	NA	NA	NA	NA
Tgfbi	NA	NA	NA	NA
Rtl3	NA	NA	NA	NA
Fam136a	NA	NA	NA	NA
Grem2	NA	NA	NA	NA
Isca1	NA	NA	NA	NA
Eif3e	NA	NA	NA	NA
Hs3st3b1	NA	NA	NA	NA
Smcr8	NA	NA	NA	NA
Exoc2	NA	NA	NA	NA
Arpc5l	NA	NA	NA	NA
Vmn2r4	NA	NA	NA	NA
Sbk1	NA	NA	NA	NA
Phyhd1	NA	NA	NA	NA
Gm49238	NA	NA	NA	NA
Nav2	NA	NA	NA	NA
Nfkbib	NA	NA	NA	NA
Lonp2	NA	NA	NA	NA
Arhgef18	NA	NA	NA	NA
Pdcl3	NA	NA	NA	NA
Hephl1	NA	NA	NA	NA
Dpep1	NA	NA	NA	NA
Gm14895	NA	NA	NA	NA
Trem2	NA	NA	NA	NA
Elf3	NA	NA	NA	NA
Col6a1	NA	NA	NA	NA
Psmd4	NA	NA	NA	NA
Gm37639	NA	NA	NA	NA
Gm48366	NA	NA	NA	NA
Maz	NA	NA	NA	NA
B230312C02Rik	NA	NA	NA	NA
Nomo1	NA	NA	NA	NA
Vgll3	NA	NA	NA	NA
Inpp5d	NA	NA	NA	NA
Arhgap44	NA	NA	NA	NA
Gm38404	NA	NA	NA	NA
Gpc1	NA	NA	NA	NA
Cxcl12	NA	NA	NA	NA
Cltb	NA	NA	NA	NA
BC051142	NA	NA	NA	NA
Olfr780	NA	NA	NA	NA
