Trendy genes	Trendy genes:Module genes	Module genes	Trendy genes:Module genes:Hub genes	Module genes:Hub genes
Sertad4	NA	NA	NA	NA
Gm42427	NA	NA	NA	NA
Acod1	NA	NA	NA	NA
Slc31a1	NA	NA	NA	NA
Atpaf2	NA	NA	NA	NA
Gm17018	NA	NA	NA	NA
Bcl7c	NA	NA	NA	NA
Olfr133	NA	NA	NA	NA
Cd74	NA	NA	NA	NA
Fras1	NA	NA	NA	NA
Mto1	NA	NA	NA	NA
Gm31036	NA	NA	NA	NA
Angpt1	NA	NA	NA	NA
Lrtm2	NA	NA	NA	NA
Zfp106	NA	NA	NA	NA
C3ar1	NA	NA	NA	NA
Gm47086	NA	NA	NA	NA
Igkc	NA	NA	NA	NA
Manba	NA	NA	NA	NA
Gm45844	NA	NA	NA	NA
Tgoln1	NA	NA	NA	NA
Cd19	NA	NA	NA	NA
Ran	NA	NA	NA	NA
Arsg	NA	NA	NA	NA
Hk2	NA	NA	NA	NA
Nav1	NA	NA	NA	NA
Dab2ip	NA	NA	NA	NA
Ecd	NA	NA	NA	NA
Ddost	NA	NA	NA	NA
Ccnl2	NA	NA	NA	NA
Serpina9	NA	NA	NA	NA
Corin	NA	NA	NA	NA
Slc2a6	NA	NA	NA	NA
Calr	NA	NA	NA	NA
Cybb	NA	NA	NA	NA
Fxyd5	NA	NA	NA	NA
Topors	NA	NA	NA	NA
Sdc3	NA	NA	NA	NA
Axl	NA	NA	NA	NA
Fasn	NA	NA	NA	NA
Unc5a	NA	NA	NA	NA
Slc25a11	NA	NA	NA	NA
A230072C01Rik	NA	NA	NA	NA
Igf1r	NA	NA	NA	NA
Tnc	NA	NA	NA	NA
Pcif1	NA	NA	NA	NA
Cox10	NA	NA	NA	NA
Golgb1	NA	NA	NA	NA
Ddx27	NA	NA	NA	NA
Fuca2	NA	NA	NA	NA
Acadvl	NA	NA	NA	NA
Gm10033	NA	NA	NA	NA
Klrk1	NA	NA	NA	NA
Arf4	NA	NA	NA	NA
Pisd	NA	NA	NA	NA
Hsd17b7	NA	NA	NA	NA
Ube2g2	NA	NA	NA	NA
Marcks	NA	NA	NA	NA
Pex13	NA	NA	NA	NA
Gtf2h5	NA	NA	NA	NA
Mrps18b	NA	NA	NA	NA
Dgkz	NA	NA	NA	NA
Fhit	NA	NA	NA	NA
H2-DMa	NA	NA	NA	NA
Kctd3	NA	NA	NA	NA
Qsox1	NA	NA	NA	NA
Usp14	NA	NA	NA	NA
Ptpn9	NA	NA	NA	NA
Cd274	NA	NA	NA	NA
Il12rb1	NA	NA	NA	NA
Lrrc3	NA	NA	NA	NA
Tmem150a	NA	NA	NA	NA
Epop	NA	NA	NA	NA
Mapk11	NA	NA	NA	NA
Hexdc	NA	NA	NA	NA
Rpl22	NA	NA	NA	NA
Cyp2j6	NA	NA	NA	NA
Tlr1	NA	NA	NA	NA
H2-M3	NA	NA	NA	NA
Vps26b	NA	NA	NA	NA
Btla	NA	NA	NA	NA
Cttnbp2nl	NA	NA	NA	NA
Gm7592	NA	NA	NA	NA
Taf6	NA	NA	NA	NA
Actr1a	NA	NA	NA	NA
Myo1b	NA	NA	NA	NA
Gm15883	NA	NA	NA	NA
Tomm70a	NA	NA	NA	NA
Erc1	NA	NA	NA	NA
Tnfrsf13b	NA	NA	NA	NA
Rab18	NA	NA	NA	NA
Gm28172	NA	NA	NA	NA
Lgmn	NA	NA	NA	NA
Sp100	NA	NA	NA	NA
Fam135a	NA	NA	NA	NA
Elf1	NA	NA	NA	NA
Slc28a2	NA	NA	NA	NA
Dstn	NA	NA	NA	NA
Hspd1	NA	NA	NA	NA
Spsb3	NA	NA	NA	NA
Clu	NA	NA	NA	NA
Selenbp1	NA	NA	NA	NA
Agl	NA	NA	NA	NA
Sucla2	NA	NA	NA	NA
Irf7	NA	NA	NA	NA
F9	NA	NA	NA	NA
Mefv	NA	NA	NA	NA
Ccdc57	NA	NA	NA	NA
N4bp2os	NA	NA	NA	NA
Anks4b	NA	NA	NA	NA
Tm2d2	NA	NA	NA	NA
Gsg1l	NA	NA	NA	NA
Gfra1	NA	NA	NA	NA
Kyat3	NA	NA	NA	NA
Zfp428	NA	NA	NA	NA
Ssx2ip	NA	NA	NA	NA
Rex1bd	NA	NA	NA	NA
Pmvk	NA	NA	NA	NA
Rec8	NA	NA	NA	NA
Gulo	NA	NA	NA	NA
Fgfrl1	NA	NA	NA	NA
Wdr53	NA	NA	NA	NA
Kif5b	NA	NA	NA	NA
Slc8a3	NA	NA	NA	NA
Pax8	NA	NA	NA	NA
Stat1	NA	NA	NA	NA
Lbhd1	NA	NA	NA	NA
Lmbr1l	NA	NA	NA	NA
Mthfd2	NA	NA	NA	NA
Srpk1	NA	NA	NA	NA
Gm34471	NA	NA	NA	NA
Serpina1d	NA	NA	NA	NA
Cct3	NA	NA	NA	NA
Tnfaip3	NA	NA	NA	NA
Cct4	NA	NA	NA	NA
Abcb4	NA	NA	NA	NA
1810059H22Rik	NA	NA	NA	NA
Copz1	NA	NA	NA	NA
Flrt1	NA	NA	NA	NA
Zfp947	NA	NA	NA	NA
Pfn2	NA	NA	NA	NA
Sc5d	NA	NA	NA	NA
Cpsf2	NA	NA	NA	NA
Ccdc47	NA	NA	NA	NA
Eef1akmt4	NA	NA	NA	NA
Mob1b	NA	NA	NA	NA
Col6a6	NA	NA	NA	NA
Cyp8b1	NA	NA	NA	NA
Xaf1	NA	NA	NA	NA
Tns3	NA	NA	NA	NA
Dtwd1	NA	NA	NA	NA
Cd79a	NA	NA	NA	NA
Epsti1	NA	NA	NA	NA
Creb3	NA	NA	NA	NA
Ascc2	NA	NA	NA	NA
Gm43072	NA	NA	NA	NA
Pla2g4f	NA	NA	NA	NA
Klhdc4	NA	NA	NA	NA
Mpeg1	NA	NA	NA	NA
Ccdc125	NA	NA	NA	NA
Uggt1	NA	NA	NA	NA
Igkv6-20	NA	NA	NA	NA
Tsen54	NA	NA	NA	NA
Il10ra	NA	NA	NA	NA
Kif21b	NA	NA	NA	NA
Gmip	NA	NA	NA	NA
Dtx1	NA	NA	NA	NA
Myo18a	NA	NA	NA	NA
Bsg	NA	NA	NA	NA
Arrdc2	NA	NA	NA	NA
Vwce	NA	NA	NA	NA
Wt1	NA	NA	NA	NA
Masp2	NA	NA	NA	NA
Pdcd1	NA	NA	NA	NA
AI662270	NA	NA	NA	NA
Gm15318	NA	NA	NA	NA
Hlx	NA	NA	NA	NA
2010001A14Rik	NA	NA	NA	NA
Hip1	NA	NA	NA	NA
Rnf121	NA	NA	NA	NA
Aph1a	NA	NA	NA	NA
Spc24	NA	NA	NA	NA
H2-Ab1	NA	NA	NA	NA
Dusp4	NA	NA	NA	NA
Med9	NA	NA	NA	NA
Klf6	NA	NA	NA	NA
Parvg	NA	NA	NA	NA
Plcl2	NA	NA	NA	NA
Rpl18-ps2	NA	NA	NA	NA
Itih1	NA	NA	NA	NA
Ikzf1	NA	NA	NA	NA
Sparc	NA	NA	NA	NA
Lax1	NA	NA	NA	NA
Cnnm1	NA	NA	NA	NA
1700022N22Rik	NA	NA	NA	NA
Tesmin	NA	NA	NA	NA
Cln6	NA	NA	NA	NA
Mzb1	NA	NA	NA	NA
Polrmt	NA	NA	NA	NA
Bzw1	NA	NA	NA	NA
Apobec3	NA	NA	NA	NA
Gm48660	NA	NA	NA	NA
Echs1	NA	NA	NA	NA
Ak2	NA	NA	NA	NA
Ftsj1	NA	NA	NA	NA
Ndufa10	NA	NA	NA	NA
Rbm7	NA	NA	NA	NA
Hadha	NA	NA	NA	NA
Mapk1	NA	NA	NA	NA
9530034E10Rik	NA	NA	NA	NA
Gart	NA	NA	NA	NA
Sirpa	NA	NA	NA	NA
Anxa11	NA	NA	NA	NA
Eepd1	NA	NA	NA	NA
Ptpro	NA	NA	NA	NA
Cox18	NA	NA	NA	NA
Batf	NA	NA	NA	NA
Mepce	NA	NA	NA	NA
Cope	NA	NA	NA	NA
Scnn1a	NA	NA	NA	NA
Gm2814	NA	NA	NA	NA
Timm23	NA	NA	NA	NA
Sult1e1	NA	NA	NA	NA
Rgs5	NA	NA	NA	NA
Hs6st1	NA	NA	NA	NA
Iigp1	NA	NA	NA	NA
Gm37390	NA	NA	NA	NA
Sgsm2	NA	NA	NA	NA
Tmem125	NA	NA	NA	NA
Tgfa	NA	NA	NA	NA
Fcmr	NA	NA	NA	NA
Brix1	NA	NA	NA	NA
Elovl2	NA	NA	NA	NA
Fbrsl1	NA	NA	NA	NA
Rps6ka3	NA	NA	NA	NA
Rab23	NA	NA	NA	NA
Pemt	NA	NA	NA	NA
Nde1	NA	NA	NA	NA
Ly86	NA	NA	NA	NA
Tsc22d3	NA	NA	NA	NA
Rnf25	NA	NA	NA	NA
Plg	NA	NA	NA	NA
Odf3b	NA	NA	NA	NA
A2ml1	NA	NA	NA	NA
Elavl1	NA	NA	NA	NA
Cyb561	NA	NA	NA	NA
Tdrp	NA	NA	NA	NA
Tacc1	NA	NA	NA	NA
Gtpbp8	NA	NA	NA	NA
Socs5	NA	NA	NA	NA
Pdlim7	NA	NA	NA	NA
Pzp	NA	NA	NA	NA
Otulinl	NA	NA	NA	NA
Zfp202	NA	NA	NA	NA
Sdf2l1	NA	NA	NA	NA
Acot11	NA	NA	NA	NA
Klc1	NA	NA	NA	NA
Zdhhc13	NA	NA	NA	NA
Hip1r	NA	NA	NA	NA
Tspan32	NA	NA	NA	NA
Zfp444	NA	NA	NA	NA
B430010I23Rik	NA	NA	NA	NA
Gm43071	NA	NA	NA	NA
Tkt	NA	NA	NA	NA
Tars	NA	NA	NA	NA
Cyp2j5	NA	NA	NA	NA
Pld6	NA	NA	NA	NA
Ccs	NA	NA	NA	NA
Rab7	NA	NA	NA	NA
Gm3436	NA	NA	NA	NA
Mettl18	NA	NA	NA	NA
Selenoh	NA	NA	NA	NA
Arl8b	NA	NA	NA	NA
Celsr1	NA	NA	NA	NA
Ssh1	NA	NA	NA	NA
Kynu	NA	NA	NA	NA
Eif2ak1	NA	NA	NA	NA
Lancl1	NA	NA	NA	NA
Ripk2	NA	NA	NA	NA
B4galt3	NA	NA	NA	NA
Adssl1	NA	NA	NA	NA
Pafah2	NA	NA	NA	NA
Tmem220	NA	NA	NA	NA
Tesk2	NA	NA	NA	NA
Ids	NA	NA	NA	NA
Ublcp1	NA	NA	NA	NA
Cdc25b	NA	NA	NA	NA
Net1	NA	NA	NA	NA
Mtfp1	NA	NA	NA	NA
Emd	NA	NA	NA	NA
Ahsa1	NA	NA	NA	NA
B230317F23Rik	NA	NA	NA	NA
Mxra8	NA	NA	NA	NA
Rtp3	NA	NA	NA	NA
Lhx2	NA	NA	NA	NA
9830144P21Rik	NA	NA	NA	NA
mt-Rnr1	NA	NA	NA	NA
Wipf1	NA	NA	NA	NA
Acss2	NA	NA	NA	NA
Tcea1	NA	NA	NA	NA
Pstpip1	NA	NA	NA	NA
Meis3	NA	NA	NA	NA
Jade1	NA	NA	NA	NA
Zfyve1	NA	NA	NA	NA
Cpsf1	NA	NA	NA	NA
Pomt2	NA	NA	NA	NA
Slc23a1	NA	NA	NA	NA
Rgl2	NA	NA	NA	NA
Col6a2	NA	NA	NA	NA
Ctsk	NA	NA	NA	NA
Dnm2	NA	NA	NA	NA
Gm43449	NA	NA	NA	NA
Myo1f	NA	NA	NA	NA
Klhl35	NA	NA	NA	NA
Pear1	NA	NA	NA	NA
Tns2	NA	NA	NA	NA
Hccs	NA	NA	NA	NA
Ormdl3	NA	NA	NA	NA
Rhoa	NA	NA	NA	NA
Adrb3	NA	NA	NA	NA
Copz2	NA	NA	NA	NA
Stra6l	NA	NA	NA	NA
Gm47376	NA	NA	NA	NA
Irgm1	NA	NA	NA	NA
Map4	NA	NA	NA	NA
Sema5b	NA	NA	NA	NA
Apol9a	NA	NA	NA	NA
Nap1l5	NA	NA	NA	NA
Pola1	NA	NA	NA	NA
Eif4e	NA	NA	NA	NA
Gpsm3	NA	NA	NA	NA
Gm12216	NA	NA	NA	NA
Dnm1l	NA	NA	NA	NA
Bicra	NA	NA	NA	NA
Kdm5b	NA	NA	NA	NA
Ntan1	NA	NA	NA	NA
Abcg1	NA	NA	NA	NA
Acot7	NA	NA	NA	NA
Tamm41	NA	NA	NA	NA
Mcm6	NA	NA	NA	NA
Sp140	NA	NA	NA	NA
Cdc42se2	NA	NA	NA	NA
Slc25a15	NA	NA	NA	NA
Atp6v1d	NA	NA	NA	NA
BC005537	NA	NA	NA	NA
Rnf157	NA	NA	NA	NA
Blvrb	NA	NA	NA	NA
Washc4	NA	NA	NA	NA
Tmem208	NA	NA	NA	NA
Tax1bp3	NA	NA	NA	NA
Tmem26	NA	NA	NA	NA
Smu1	NA	NA	NA	NA
Man1c1	NA	NA	NA	NA
Naa60	NA	NA	NA	NA
Slc50a1	NA	NA	NA	NA
Cdc42ep1	NA	NA	NA	NA
Tbcel	NA	NA	NA	NA
Cep70	NA	NA	NA	NA
Lilra6	NA	NA	NA	NA
Acap1	NA	NA	NA	NA
Prkcz	NA	NA	NA	NA
Nckap5	NA	NA	NA	NA
2210417A02Rik	NA	NA	NA	NA
4632404H12Rik	NA	NA	NA	NA
Pamr1	NA	NA	NA	NA
BC060293	NA	NA	NA	NA
Baat	NA	NA	NA	NA
Clec12a	NA	NA	NA	NA
Lsm6	NA	NA	NA	NA
Bud31	NA	NA	NA	NA
Serpinb9	NA	NA	NA	NA
Card6	NA	NA	NA	NA
Mical1	NA	NA	NA	NA
Hdgfl2	NA	NA	NA	NA
Mkx	NA	NA	NA	NA
Axin2	NA	NA	NA	NA
Zranb2	NA	NA	NA	NA
Arhgap42	NA	NA	NA	NA
Cep83os	NA	NA	NA	NA
Ighv9-3	NA	NA	NA	NA
Lrrk1	NA	NA	NA	NA
Galc	NA	NA	NA	NA
Ak6	NA	NA	NA	NA
Sumo3	NA	NA	NA	NA
Farsa	NA	NA	NA	NA
Nelfe	NA	NA	NA	NA
Hnrnpl	NA	NA	NA	NA
Pgrmc2	NA	NA	NA	NA
Ppp1r15a	NA	NA	NA	NA
Rragc	NA	NA	NA	NA
Asap2	NA	NA	NA	NA
Tbc1d10a	NA	NA	NA	NA
Sap130	NA	NA	NA	NA
Cd276	NA	NA	NA	NA
Renbp	NA	NA	NA	NA
Mtus1	NA	NA	NA	NA
Ccl2	NA	NA	NA	NA
Foxa3	NA	NA	NA	NA
Pld2	NA	NA	NA	NA
Adgrg2	NA	NA	NA	NA
Gm16559	NA	NA	NA	NA
Kctd12	NA	NA	NA	NA
Pigs	NA	NA	NA	NA
Ctf1	NA	NA	NA	NA
Mapkap1	NA	NA	NA	NA
Hc	NA	NA	NA	NA
1600014C10Rik	NA	NA	NA	NA
Nkg7	NA	NA	NA	NA
Slc4a9	NA	NA	NA	NA
Blcap	NA	NA	NA	NA
Trpv3	NA	NA	NA	NA
Hspa12a	NA	NA	NA	NA
Bivm	NA	NA	NA	NA
Ppm1f	NA	NA	NA	NA
Nelfa	NA	NA	NA	NA
Gm10390	NA	NA	NA	NA
Btg2	NA	NA	NA	NA
Bhlhe40	NA	NA	NA	NA
Gpat2	NA	NA	NA	NA
Ddah1	NA	NA	NA	NA
Fcrla	NA	NA	NA	NA
Tmem144	NA	NA	NA	NA
Iglv2	NA	NA	NA	NA
Zfp36	NA	NA	NA	NA
Gimap3	NA	NA	NA	NA
Rnase6	NA	NA	NA	NA
Clic4	NA	NA	NA	NA
1110002L01Rik	NA	NA	NA	NA
Qpctl	NA	NA	NA	NA
H2-DMb1	NA	NA	NA	NA
Maff	NA	NA	NA	NA
Btg3	NA	NA	NA	NA
Tanc2	NA	NA	NA	NA
Gm38240	NA	NA	NA	NA
Hadhb	NA	NA	NA	NA
Zfp963	NA	NA	NA	NA
Arhgef17	NA	NA	NA	NA
Dhx58	NA	NA	NA	NA
Nudc	NA	NA	NA	NA
Oard1	NA	NA	NA	NA
Iqcg	NA	NA	NA	NA
Plcxd1	NA	NA	NA	NA
Adi1	NA	NA	NA	NA
Gfm2	NA	NA	NA	NA
Tmsb10	NA	NA	NA	NA
Srgap2	NA	NA	NA	NA
Hdhd2	NA	NA	NA	NA
Sacm1l	NA	NA	NA	NA
Fermt1	NA	NA	NA	NA
Arhgef6	NA	NA	NA	NA
Atp8a1	NA	NA	NA	NA
Clptm1	NA	NA	NA	NA
Dennd6b	NA	NA	NA	NA
Ltbp4	NA	NA	NA	NA
Cebpg	NA	NA	NA	NA
Chd3	NA	NA	NA	NA
Ppid	NA	NA	NA	NA
Mamdc2	NA	NA	NA	NA
Prpf38a	NA	NA	NA	NA
Ankmy2	NA	NA	NA	NA
Clic5	NA	NA	NA	NA
Cyp2d37-ps	NA	NA	NA	NA
Thoc2	NA	NA	NA	NA
Cxcl9	NA	NA	NA	NA
Nrbp1	NA	NA	NA	NA
Tmem163	NA	NA	NA	NA
Ddx52	NA	NA	NA	NA
Galnt15	NA	NA	NA	NA
Ippk	NA	NA	NA	NA
Fgl2	NA	NA	NA	NA
Ddt	NA	NA	NA	NA
Car14	NA	NA	NA	NA
Afdn	NA	NA	NA	NA
Hr	NA	NA	NA	NA
Plekho2	NA	NA	NA	NA
Rbm18	NA	NA	NA	NA
Clcn3	NA	NA	NA	NA
Acaa2	NA	NA	NA	NA
Nans	NA	NA	NA	NA
Cyb561a3	NA	NA	NA	NA
Gsta3	NA	NA	NA	NA
D630039A03Rik	NA	NA	NA	NA
Prkcb	NA	NA	NA	NA
Engase	NA	NA	NA	NA
Fnip2	NA	NA	NA	NA
Gm48855	NA	NA	NA	NA
Ptpn6	NA	NA	NA	NA
Tfip11	NA	NA	NA	NA
Atg12	NA	NA	NA	NA
Tfb2m	NA	NA	NA	NA
B4galt5	NA	NA	NA	NA
Senp2	NA	NA	NA	NA
Slc17a2	NA	NA	NA	NA
Arl4c	NA	NA	NA	NA
Lrrc75a	NA	NA	NA	NA
Rprd1a	NA	NA	NA	NA
Ticam2	NA	NA	NA	NA
Ms4a4a	NA	NA	NA	NA
Ncln	NA	NA	NA	NA
Ripor2	NA	NA	NA	NA
Rdm1	NA	NA	NA	NA
Sec61a2	NA	NA	NA	NA
Mmgt1	NA	NA	NA	NA
Cd2	NA	NA	NA	NA
Mansc1	NA	NA	NA	NA
Hif1a	NA	NA	NA	NA
Cipc	NA	NA	NA	NA
Itgb7	NA	NA	NA	NA
Stk10	NA	NA	NA	NA
Yipf5	NA	NA	NA	NA
Vav2	NA	NA	NA	NA
Gm15611	NA	NA	NA	NA
A4gnt	NA	NA	NA	NA
D030056L22Rik	NA	NA	NA	NA
Mrpl50	NA	NA	NA	NA
Zfp874a	NA	NA	NA	NA
Lcp2	NA	NA	NA	NA
Bysl	NA	NA	NA	NA
Cul9	NA	NA	NA	NA
Cklf	NA	NA	NA	NA
Dnajc21	NA	NA	NA	NA
Gm22499	NA	NA	NA	NA
Ncapg2	NA	NA	NA	NA
Tbl1xr1	NA	NA	NA	NA
Susd3	NA	NA	NA	NA
Itgb3bp	NA	NA	NA	NA
Htatip2	NA	NA	NA	NA
Ttpal	NA	NA	NA	NA
Phf19	NA	NA	NA	NA
Aftph	NA	NA	NA	NA
Psma5	NA	NA	NA	NA
Eif4ebp1	NA	NA	NA	NA
Iglc2	NA	NA	NA	NA
Pam	NA	NA	NA	NA
Pik3cb	NA	NA	NA	NA
Rab5c	NA	NA	NA	NA
Supt3	NA	NA	NA	NA
Zmiz1	NA	NA	NA	NA
AI597479	NA	NA	NA	NA
Tex12	NA	NA	NA	NA
Dmpk	NA	NA	NA	NA
Ston2	NA	NA	NA	NA
Rhod	NA	NA	NA	NA
Hikeshi	NA	NA	NA	NA
Cd300c2	NA	NA	NA	NA
Tubb4a	NA	NA	NA	NA
Kcnq1	NA	NA	NA	NA
Ppp1r2	NA	NA	NA	NA
Shld2	NA	NA	NA	NA
Ctss	NA	NA	NA	NA
Rps6ka1	NA	NA	NA	NA
Gm18959	NA	NA	NA	NA
Rpl24	NA	NA	NA	NA
Cmtm3	NA	NA	NA	NA
Cd79b	NA	NA	NA	NA
Wscd1	NA	NA	NA	NA
Themis	NA	NA	NA	NA
BC021767	NA	NA	NA	NA
Shisa5	NA	NA	NA	NA
Add1	NA	NA	NA	NA
Fgfr3	NA	NA	NA	NA
Eif2ak4	NA	NA	NA	NA
Aacs	NA	NA	NA	NA
Arhgap4	NA	NA	NA	NA
Gm20634	NA	NA	NA	NA
Clstn1	NA	NA	NA	NA
Eps8	NA	NA	NA	NA
Adamts5	NA	NA	NA	NA
Chchd7	NA	NA	NA	NA
Pdgfd	NA	NA	NA	NA
Galnt6	NA	NA	NA	NA
Raet1d	NA	NA	NA	NA
Dpp3	NA	NA	NA	NA
Ccdc71	NA	NA	NA	NA
Fundc2	NA	NA	NA	NA
Phf24	NA	NA	NA	NA
Rmc1	NA	NA	NA	NA
Ywhaq	NA	NA	NA	NA
Gm32017	NA	NA	NA	NA
Nckap1l	NA	NA	NA	NA
Rassf4	NA	NA	NA	NA
Tox4	NA	NA	NA	NA
Gm33699	NA	NA	NA	NA
Klhdc7a	NA	NA	NA	NA
Rtraf	NA	NA	NA	NA
Gm49327	NA	NA	NA	NA
Raet1e	NA	NA	NA	NA
Mup16	NA	NA	NA	NA
Kit	NA	NA	NA	NA
Ube2a	NA	NA	NA	NA
Cog4	NA	NA	NA	NA
Gpr180	NA	NA	NA	NA
Gm16332	NA	NA	NA	NA
Nudt5	NA	NA	NA	NA
Api5	NA	NA	NA	NA
Fam189b	NA	NA	NA	NA
Cxcr6	NA	NA	NA	NA
AI413582	NA	NA	NA	NA
Shroom1	NA	NA	NA	NA
Prnp	NA	NA	NA	NA
Ank3	NA	NA	NA	NA
Exosc9	NA	NA	NA	NA
Vps37a	NA	NA	NA	NA
C130026I21Rik	NA	NA	NA	NA
Pard3bos3	NA	NA	NA	NA
Rab11a	NA	NA	NA	NA
Gpr137b	NA	NA	NA	NA
Cul1	NA	NA	NA	NA
Iqsec1	NA	NA	NA	NA
Txnl4a	NA	NA	NA	NA
Gm12473	NA	NA	NA	NA
Vegfb	NA	NA	NA	NA
Grip2	NA	NA	NA	NA
Zfp518a	NA	NA	NA	NA
Rogdi	NA	NA	NA	NA
Igfbp1	NA	NA	NA	NA
Cul7	NA	NA	NA	NA
Lyar	NA	NA	NA	NA
Gabra3	NA	NA	NA	NA
Uqcrc1	NA	NA	NA	NA
Gpr137b-ps	NA	NA	NA	NA
Gm15401	NA	NA	NA	NA
Tgfbr2	NA	NA	NA	NA
Thoc6	NA	NA	NA	NA
Pxmp4	NA	NA	NA	NA
Invs	NA	NA	NA	NA
4632427E13Rik	NA	NA	NA	NA
Tbc1d1	NA	NA	NA	NA
Tbc1d31	NA	NA	NA	NA
Itpa	NA	NA	NA	NA
Srms	NA	NA	NA	NA
Rpn1	NA	NA	NA	NA
Cyp21a2-ps	NA	NA	NA	NA
Cys1	NA	NA	NA	NA
Cmc1	NA	NA	NA	NA
Scn3b	NA	NA	NA	NA
Ube2i	NA	NA	NA	NA
Ints9	NA	NA	NA	NA
Slc26a6	NA	NA	NA	NA
A530001N23Rik	NA	NA	NA	NA
Mrpl28	NA	NA	NA	NA
Nhlrc2	NA	NA	NA	NA
Rps6ka2	NA	NA	NA	NA
Thoc3	NA	NA	NA	NA
Cadm1	NA	NA	NA	NA
Ddx54	NA	NA	NA	NA
Mup15	NA	NA	NA	NA
Prf1	NA	NA	NA	NA
Gng2	NA	NA	NA	NA
Bola1	NA	NA	NA	NA
4930522L14Rik	NA	NA	NA	NA
Lrrc45	NA	NA	NA	NA
Osbpl1a	NA	NA	NA	NA
Adgrg5	NA	NA	NA	NA
Ltv1	NA	NA	NA	NA
Cpsf4	NA	NA	NA	NA
Slc35f6	NA	NA	NA	NA
Laptm5	NA	NA	NA	NA
Rassf2	NA	NA	NA	NA
A530016L24Rik	NA	NA	NA	NA
Tm9sf2	NA	NA	NA	NA
Qars	NA	NA	NA	NA
Dclre1a	NA	NA	NA	NA
Mroh1	NA	NA	NA	NA
Zfp366	NA	NA	NA	NA
Stoml2	NA	NA	NA	NA
Clock	NA	NA	NA	NA
Tbc1d32	NA	NA	NA	NA
Hscb	NA	NA	NA	NA
Golga7	NA	NA	NA	NA
Mical2	NA	NA	NA	NA
Lpcat4	NA	NA	NA	NA
Lat2	NA	NA	NA	NA
Vdac1	NA	NA	NA	NA
Cd96	NA	NA	NA	NA
Ilf3	NA	NA	NA	NA
Cactin	NA	NA	NA	NA
Fam83f	NA	NA	NA	NA
Zfp867	NA	NA	NA	NA
Rrbp1	NA	NA	NA	NA
Slc43a2	NA	NA	NA	NA
Tfe3	NA	NA	NA	NA
Rint1	NA	NA	NA	NA
Agpat1	NA	NA	NA	NA
Rab31	NA	NA	NA	NA
Mr1	NA	NA	NA	NA
Naaa	NA	NA	NA	NA
Cyp2d12	NA	NA	NA	NA
Dclk3	NA	NA	NA	NA
Vtn	NA	NA	NA	NA
Plac8	NA	NA	NA	NA
Pik3c2g	NA	NA	NA	NA
Hypk	NA	NA	NA	NA
Npm1	NA	NA	NA	NA
Gm17228	NA	NA	NA	NA
Gm15408	NA	NA	NA	NA
1810008I18Rik	NA	NA	NA	NA
Scn1b	NA	NA	NA	NA
Mnat1	NA	NA	NA	NA
Crip2	NA	NA	NA	NA
E030042O20Rik	NA	NA	NA	NA
Isca1	NA	NA	NA	NA
Evi2a	NA	NA	NA	NA
Pdpk1	NA	NA	NA	NA
Gm44805	NA	NA	NA	NA
Klhl5	NA	NA	NA	NA
Urod	NA	NA	NA	NA
Spag9	NA	NA	NA	NA
Igsf8	NA	NA	NA	NA
Clp1	NA	NA	NA	NA
Abl1	NA	NA	NA	NA
Add3	NA	NA	NA	NA
Ccdc90b	NA	NA	NA	NA
Igha	NA	NA	NA	NA
Ccnyl1	NA	NA	NA	NA
Rpl4	NA	NA	NA	NA
Polr2b	NA	NA	NA	NA
Vangl1	NA	NA	NA	NA
Trim56	NA	NA	NA	NA
Rdh7	NA	NA	NA	NA
Cyc1	NA	NA	NA	NA
Hmgcs2	NA	NA	NA	NA
Gm49338	NA	NA	NA	NA
Ppp4r3b	NA	NA	NA	NA
Znrf2	NA	NA	NA	NA
Slc16a1	NA	NA	NA	NA
Rims3	NA	NA	NA	NA
Mmp13	NA	NA	NA	NA
Xpnpep1	NA	NA	NA	NA
Pax5	NA	NA	NA	NA
Abhd14a	NA	NA	NA	NA
B3galnt2	NA	NA	NA	NA
Hoga1	NA	NA	NA	NA
Sdk2	NA	NA	NA	NA
Gm47585	NA	NA	NA	NA
Pde4d	NA	NA	NA	NA
Gabrq	NA	NA	NA	NA
Ppme1	NA	NA	NA	NA
Plrg1	NA	NA	NA	NA
Got2	NA	NA	NA	NA
Mta3	NA	NA	NA	NA
Mansc4	NA	NA	NA	NA
Dnaja2	NA	NA	NA	NA
Pqbp1	NA	NA	NA	NA
Cd3e	NA	NA	NA	NA
Tbc1d10c	NA	NA	NA	NA
Spcs2	NA	NA	NA	NA
Tmem82	NA	NA	NA	NA
Mrps31	NA	NA	NA	NA
Sorbs2	NA	NA	NA	NA
Large1	NA	NA	NA	NA
Ifi209	NA	NA	NA	NA
Hlcs	NA	NA	NA	NA
Ube2u	NA	NA	NA	NA
A530020G20Rik	NA	NA	NA	NA
Ell2	NA	NA	NA	NA
Sytl3	NA	NA	NA	NA
Smtnl2	NA	NA	NA	NA
Rgs3	NA	NA	NA	NA
Ccdc163	NA	NA	NA	NA
Cct5	NA	NA	NA	NA
Cd68	NA	NA	NA	NA
Jdp2	NA	NA	NA	NA
Dnmt3b	NA	NA	NA	NA
Fibin	NA	NA	NA	NA
Rbm28	NA	NA	NA	NA
Cdk13	NA	NA	NA	NA
Cebpzos	NA	NA	NA	NA
Thy1	NA	NA	NA	NA
Cyp2c65	NA	NA	NA	NA
