Trendy genes	Trendy genes:Module genes	Module genes	Trendy genes:Module genes:Hub genes	Module genes:Hub genes
Timm9	NA	NA	NA	NA
Cyp2d10	NA	NA	NA	NA
Serpinb8	NA	NA	NA	NA
Efemp1	NA	NA	NA	NA
9630013D21Rik	NA	NA	NA	NA
Letm1	NA	NA	NA	NA
2310016G11Rik	NA	NA	NA	NA
Mup7	NA	NA	NA	NA
Agmat	NA	NA	NA	NA
Dock7	NA	NA	NA	NA
Sh3bp5	NA	NA	NA	NA
Rnf150	NA	NA	NA	NA
Ncam2	NA	NA	NA	NA
Nars	NA	NA	NA	NA
Maged1	NA	NA	NA	NA
Cxcl11	NA	NA	NA	NA
Vps41	NA	NA	NA	NA
Atg13	NA	NA	NA	NA
Sorl1	NA	NA	NA	NA
H13	NA	NA	NA	NA
Omd	NA	NA	NA	NA
Gnat1	NA	NA	NA	NA
Mpc1-ps	NA	NA	NA	NA
Esp36	NA	NA	NA	NA
Cfhr2	NA	NA	NA	NA
Hsf2bp	NA	NA	NA	NA
Lrtm1	NA	NA	NA	NA
Dcaf12	NA	NA	NA	NA
Sytl5	NA	NA	NA	NA
Impg1	NA	NA	NA	NA
Dpp7	NA	NA	NA	NA
Serpina6	NA	NA	NA	NA
Abcc4	NA	NA	NA	NA
H2-T23	NA	NA	NA	NA
Nmi	NA	NA	NA	NA
Dnaja3	NA	NA	NA	NA
Memo1	NA	NA	NA	NA
Sned1	NA	NA	NA	NA
Usp9x	NA	NA	NA	NA
Igtp	NA	NA	NA	NA
Gm49410	NA	NA	NA	NA
Lactb	NA	NA	NA	NA
Psmd2	NA	NA	NA	NA
Chrna2	NA	NA	NA	NA
Speg	NA	NA	NA	NA
Zbtb20	NA	NA	NA	NA
Hars2	NA	NA	NA	NA
Nhsl1	NA	NA	NA	NA
Arpc1a	NA	NA	NA	NA
Pgam1	NA	NA	NA	NA
Gps1	NA	NA	NA	NA
Ces1g	NA	NA	NA	NA
Ccdc25	NA	NA	NA	NA
Camk1d	NA	NA	NA	NA
Rab14	NA	NA	NA	NA
Tfdp1	NA	NA	NA	NA
Rgs12	NA	NA	NA	NA
Nop16	NA	NA	NA	NA
Sstr2	NA	NA	NA	NA
Olfr373	NA	NA	NA	NA
Map1lc3b	NA	NA	NA	NA
Uroc1	NA	NA	NA	NA
Aadat	NA	NA	NA	NA
Nsun4	NA	NA	NA	NA
Sh3yl1	NA	NA	NA	NA
Ces1b	NA	NA	NA	NA
Abhd5	NA	NA	NA	NA
Smoc1	NA	NA	NA	NA
Apex2	NA	NA	NA	NA
Hax1	NA	NA	NA	NA
Ldah	NA	NA	NA	NA
AW112010	NA	NA	NA	NA
Mt1	NA	NA	NA	NA
Sult2a-ps1	NA	NA	NA	NA
Prex1	NA	NA	NA	NA
Ergic2	NA	NA	NA	NA
Mgst1	NA	NA	NA	NA
Enpp1	NA	NA	NA	NA
Btg1	NA	NA	NA	NA
Mtch2	NA	NA	NA	NA
Ncmap	NA	NA	NA	NA
Gm4951	NA	NA	NA	NA
Pigr	NA	NA	NA	NA
Cfh	NA	NA	NA	NA
H2-M2	NA	NA	NA	NA
Acox1	NA	NA	NA	NA
Bpnt1	NA	NA	NA	NA
Lactb2	NA	NA	NA	NA
Arl1	NA	NA	NA	NA
Cct8	NA	NA	NA	NA
Gm15261	NA	NA	NA	NA
Pgm3	NA	NA	NA	NA
A1bg	NA	NA	NA	NA
Eif3b	NA	NA	NA	NA
Npc2	NA	NA	NA	NA
Eps8l2	NA	NA	NA	NA
H6pd	NA	NA	NA	NA
Apol7a	NA	NA	NA	NA
Nme1	NA	NA	NA	NA
Sult2a8	NA	NA	NA	NA
Cyp4a28-ps	NA	NA	NA	NA
5033421B08Rik	NA	NA	NA	NA
Ubp1	NA	NA	NA	NA
Tmem30a	NA	NA	NA	NA
Zyg11a	NA	NA	NA	NA
P2rx4	NA	NA	NA	NA
Psmd12	NA	NA	NA	NA
Mrpl38	NA	NA	NA	NA
Gm34921	NA	NA	NA	NA
Gpnmb	NA	NA	NA	NA
Abcd1	NA	NA	NA	NA
Gstt1	NA	NA	NA	NA
Cyp3a63-ps	NA	NA	NA	NA
Trpm8	NA	NA	NA	NA
Kpna2	NA	NA	NA	NA
Olfr450	NA	NA	NA	NA
Mfsd12	NA	NA	NA	NA
Tspan33	NA	NA	NA	NA
Ppp1cc	NA	NA	NA	NA
Exosc10	NA	NA	NA	NA
Dtnb	NA	NA	NA	NA
Map2k1	NA	NA	NA	NA
Nudt18	NA	NA	NA	NA
Atpif1	NA	NA	NA	NA
Shank2	NA	NA	NA	NA
Man2b2	NA	NA	NA	NA
Myo6	NA	NA	NA	NA
Ppif	NA	NA	NA	NA
Mup12	NA	NA	NA	NA
Cltb	NA	NA	NA	NA
Gstp2	NA	NA	NA	NA
Becn1	NA	NA	NA	NA
Gm45774	NA	NA	NA	NA
Scamp3	NA	NA	NA	NA
Ubxn2a	NA	NA	NA	NA
Mertk	NA	NA	NA	NA
Itgb5	NA	NA	NA	NA
Acadsb	NA	NA	NA	NA
Smad6	NA	NA	NA	NA
Igsf5	NA	NA	NA	NA
Lgals3	NA	NA	NA	NA
Usp39	NA	NA	NA	NA
Gm29260	NA	NA	NA	NA
Rdh5	NA	NA	NA	NA
AI506816	NA	NA	NA	NA
Dll1	NA	NA	NA	NA
Adh6-ps1	NA	NA	NA	NA
Fbxl5	NA	NA	NA	NA
Fbxw9	NA	NA	NA	NA
Olfr1030	NA	NA	NA	NA
Dpysl2	NA	NA	NA	NA
Ifi27	NA	NA	NA	NA
Sephs1	NA	NA	NA	NA
Gde1	NA	NA	NA	NA
Srsf6	NA	NA	NA	NA
Asxl3	NA	NA	NA	NA
Ppp1r9a	NA	NA	NA	NA
Nomo1	NA	NA	NA	NA
Tdo2	NA	NA	NA	NA
Slc30a9	NA	NA	NA	NA
Enpep	NA	NA	NA	NA
Nek2	NA	NA	NA	NA
Trim80	NA	NA	NA	NA
Herc4	NA	NA	NA	NA
Slc27a1	NA	NA	NA	NA
H2-K2	NA	NA	NA	NA
Nipa2	NA	NA	NA	NA
Limd2	NA	NA	NA	NA
Gm29475	NA	NA	NA	NA
Mup1	NA	NA	NA	NA
Pde1a	NA	NA	NA	NA
Gm2788	NA	NA	NA	NA
Gas1	NA	NA	NA	NA
