Trendy genes	Trendy genes:Module genes	Module genes	Trendy genes:Module genes:Hub genes
Tpte	NA	NA	NA
Atg16l2	NA	NA	NA
Prpf6	NA	NA	NA
Timm9	NA	NA	NA
Cyp2d10	NA	NA	NA
Serpinb8	NA	NA	NA
9630013D21Rik	NA	NA	NA
Letm1	NA	NA	NA
2310016G11Rik	NA	NA	NA
Mup7	NA	NA	NA
Agmat	NA	NA	NA
Dock7	NA	NA	NA
Sh3bp5	NA	NA	NA
Rnf150	NA	NA	NA
Ncam2	NA	NA	NA
Nars	NA	NA	NA
Maged1	NA	NA	NA
Cxcl11	NA	NA	NA
Vps41	NA	NA	NA
Atg13	NA	NA	NA
Sorl1	NA	NA	NA
H13	NA	NA	NA
Omd	NA	NA	NA
Gnat1	NA	NA	NA
Mpc1-ps	NA	NA	NA
Esp36	NA	NA	NA
Cfhr2	NA	NA	NA
Hsf2bp	NA	NA	NA
Lrtm1	NA	NA	NA
Dcaf12	NA	NA	NA
Gas2	NA	NA	NA
Sytl5	NA	NA	NA
Impg1	NA	NA	NA
Dpp7	NA	NA	NA
Serpina6	NA	NA	NA
Abcc4	NA	NA	NA
H2-T23	NA	NA	NA
Snhg11	NA	NA	NA
Nmi	NA	NA	NA
Dnaja3	NA	NA	NA
Memo1	NA	NA	NA
Sned1	NA	NA	NA
Usp9x	NA	NA	NA
Uox	NA	NA	NA
Igtp	NA	NA	NA
Tiam2	NA	NA	NA
Lactb	NA	NA	NA
Psmd2	NA	NA	NA
Chrna2	NA	NA	NA
Speg	NA	NA	NA
Zbtb20	NA	NA	NA
Hars2	NA	NA	NA
Nhsl1	NA	NA	NA
Pgam1	NA	NA	NA
Gps1	NA	NA	NA
Ces1g	NA	NA	NA
Ccdc25	NA	NA	NA
Camk1d	NA	NA	NA
Rab14	NA	NA	NA
Fbxo40	NA	NA	NA
Tfdp1	NA	NA	NA
Rgs12	NA	NA	NA
Nop16	NA	NA	NA
Sstr2	NA	NA	NA
Olfr373	NA	NA	NA
Map1lc3b	NA	NA	NA
Uroc1	NA	NA	NA
Aadat	NA	NA	NA
Nsun4	NA	NA	NA
Sh3yl1	NA	NA	NA
Ces1b	NA	NA	NA
Abhd5	NA	NA	NA
Smoc1	NA	NA	NA
Apex2	NA	NA	NA
Hax1	NA	NA	NA
Ldah	NA	NA	NA
Clstn3	NA	NA	NA
AW112010	NA	NA	NA
Mt1	NA	NA	NA
Sult2a-ps1	NA	NA	NA
Ergic2	NA	NA	NA
Olig1	NA	NA	NA
Mgst1	NA	NA	NA
Enpp1	NA	NA	NA
Btg1	NA	NA	NA
Mtch2	NA	NA	NA
Ncmap	NA	NA	NA
Gm4951	NA	NA	NA
Pigr	NA	NA	NA
Cfh	NA	NA	NA
Acox1	NA	NA	NA
Bpnt1	NA	NA	NA
Lactb2	NA	NA	NA
Arl1	NA	NA	NA
Cct8	NA	NA	NA
Gm15261	NA	NA	NA
Pgm3	NA	NA	NA
A1bg	NA	NA	NA
Eif3b	NA	NA	NA
Npc2	NA	NA	NA
Eps8l2	NA	NA	NA
H6pd	NA	NA	NA
Apol7a	NA	NA	NA
Nme1	NA	NA	NA
Sult2a8	NA	NA	NA
Cyp4a28-ps	NA	NA	NA
5033421B08Rik	NA	NA	NA
Ubp1	NA	NA	NA
Tmem30a	NA	NA	NA
Zyg11a	NA	NA	NA
P2rx4	NA	NA	NA
Psmd12	NA	NA	NA
Mrpl38	NA	NA	NA
Gm34921	NA	NA	NA
Abcd1	NA	NA	NA
Gstt1	NA	NA	NA
