Trendy genes	Trendy genes:Module genes	Module genes	Trendy genes:Module genes:Hub genes
4933431K23Rik	NA	NA	NA
Olfr867	NA	NA	NA
Dbt	NA	NA	NA
Trim63	NA	NA	NA
Adipor1	NA	NA	NA
Thtpa	NA	NA	NA
Dram2	NA	NA	NA
Fam210a	NA	NA	NA
Gm45473	NA	NA	NA
Phyh	NA	NA	NA
Hsd17b4	NA	NA	NA
Aox3	NA	NA	NA
Got2	NA	NA	NA
Chst10	NA	NA	NA
Ptprc	NA	NA	NA
Casd1	NA	NA	NA
Gm43000	NA	NA	NA
Rab22a	NA	NA	NA
Sqor	NA	NA	NA
Laptm4b	NA	NA	NA
Hspa9	NA	NA	NA
Gm36070	NA	NA	NA
Gm10687	NA	NA	NA
Prdx3	NA	NA	NA
Gm48665	NA	NA	NA
Olfr1224-ps1	NA	NA	NA
2210408F21Rik	NA	NA	NA
Las1l	NA	NA	NA
Ndufs1	NA	NA	NA
Tenm1	NA	NA	NA
Kcnj12	NA	NA	NA
Scamp3	NA	NA	NA
Pdia6	NA	NA	NA
Cd163	NA	NA	NA
Gm15902	NA	NA	NA
Gm14565	NA	NA	NA
Dap3	NA	NA	NA
P4hb	NA	NA	NA
Gm48194	NA	NA	NA
Arr3	NA	NA	NA
Yme1l1	NA	NA	NA
Uba5	NA	NA	NA
Tent5d	NA	NA	NA
4930568G15Rik	NA	NA	NA
Osgep	NA	NA	NA
Ptdss2	NA	NA	NA
H2-Aa	NA	NA	NA
Pex10	NA	NA	NA
Cops8	NA	NA	NA
1700027F09Rik	NA	NA	NA
Olfr1318	NA	NA	NA
Rangap1	NA	NA	NA
BC107364	NA	NA	NA
Vldlr	NA	NA	NA
Tns4	NA	NA	NA
Mkrn2	NA	NA	NA
Gpr143	NA	NA	NA
Retsat	NA	NA	NA
Rpl15-ps5	NA	NA	NA
Ube2b	NA	NA	NA
Olfr1321	NA	NA	NA
Pola1	NA	NA	NA
Nsun4	NA	NA	NA
Cct6a	NA	NA	NA
Batf2	NA	NA	NA
Gm44823	NA	NA	NA
Tsfm	NA	NA	NA
Diablo	NA	NA	NA
Ei24	NA	NA	NA
Dock8	NA	NA	NA
Naip2	NA	NA	NA
Coq2	NA	NA	NA
Lman2l	NA	NA	NA
Klf8	NA	NA	NA
Adamtsl3	NA	NA	NA
Gm27016	NA	NA	NA
Ckm	NA	NA	NA
Gm48913	NA	NA	NA
Tmed2	NA	NA	NA
Cmbl	NA	NA	NA
Pnkd	NA	NA	NA
Klhl22	NA	NA	NA
Eif4e	NA	NA	NA
Tars2	NA	NA	NA
Gm16094	NA	NA	NA
Oxa1l	NA	NA	NA
Sprr2e	NA	NA	NA
Mhrt	NA	NA	NA
Txndc15	NA	NA	NA
Ybx1	NA	NA	NA
Rtl6	NA	NA	NA
9430014N10Rik	NA	NA	NA
Nfat5	NA	NA	NA
Mrpl38	NA	NA	NA
Nudc	NA	NA	NA
Dock3	NA	NA	NA
Abcd3	NA	NA	NA
Fgf1	NA	NA	NA
P2ry1	NA	NA	NA
Zfp869	NA	NA	NA
Cct8	NA	NA	NA
Psmd2	NA	NA	NA
Gm13333	NA	NA	NA
Pcdhb18	NA	NA	NA
9130401M01Rik	NA	NA	NA
Clcn4	NA	NA	NA
Fam234a	NA	NA	NA
Rbm38	NA	NA	NA
Ptger2	NA	NA	NA
P2ry4	NA	NA	NA
9830004L10Rik	NA	NA	NA
Aco2	NA	NA	NA
Frmpd4	NA	NA	NA
Pramel3	NA	NA	NA
Iars	NA	NA	NA
Polr2c	NA	NA	NA
Gm12289	NA	NA	NA
Plin5	NA	NA	NA
Gm46124	NA	NA	NA
Slc2a4	NA	NA	NA
Mtr	NA	NA	NA
Ppp1r14c	NA	NA	NA
Pbxip1	NA	NA	NA
Syt11	NA	NA	NA
Gsdme	NA	NA	NA
Mto1	NA	NA	NA
Mrps24	NA	NA	NA
Itgax	NA	NA	NA
Iars2	NA	NA	NA
Tfpi	NA	NA	NA
Perm1	NA	NA	NA
Camk2n2	NA	NA	NA
Etfbkmt	NA	NA	NA
Fyb	NA	NA	NA
C1qbp	NA	NA	NA
Oas3	NA	NA	NA
Blmh	NA	NA	NA
Tarsl2	NA	NA	NA
Gm42852	NA	NA	NA
Fuca2	NA	NA	NA
Nfs1	NA	NA	NA
Mr1	NA	NA	NA
Vmn2r33	NA	NA	NA
Gpt2	NA	NA	NA
Acadl	NA	NA	NA
Tnpo3	NA	NA	NA
Tmem230	NA	NA	NA
Usp18	NA	NA	NA
Atp1b4	NA	NA	NA
Rint1	NA	NA	NA
Map2k3	NA	NA	NA
Otc	NA	NA	NA
Nsmaf	NA	NA	NA
Gucd1	NA	NA	NA
Pkia	NA	NA	NA
Yipf4	NA	NA	NA
Ar	NA	NA	NA
Coa5	NA	NA	NA
Mrps9	NA	NA	NA
Golga7	NA	NA	NA
Hspa4	NA	NA	NA
Mrpl4	NA	NA	NA
Gm16428	NA	NA	NA
Taf6	NA	NA	NA
Cuzd1	NA	NA	NA
Lepr	NA	NA	NA
Cep135	NA	NA	NA
Gpr157	NA	NA	NA
Gpx7	NA	NA	NA
Riok3	NA	NA	NA
Taf7l	NA	NA	NA
Hcn2	NA	NA	NA
Ndrg4	NA	NA	NA
Asrgl1	NA	NA	NA
Apool	NA	NA	NA
Pde7a	NA	NA	NA
Pmpca	NA	NA	NA
Ccl5	NA	NA	NA
A330070K13Rik	NA	NA	NA
Tufm	NA	NA	NA
Map1lc3b	NA	NA	NA
Pdss2	NA	NA	NA
Gm38059	NA	NA	NA
Surf4	NA	NA	NA
Olfr1364	NA	NA	NA
Mfn1	NA	NA	NA
Coro1a	NA	NA	NA
Trim30d	NA	NA	NA
Gm48508	NA	NA	NA
Car4	NA	NA	NA
Itih5l-ps	NA	NA	NA
Ampd3	NA	NA	NA
Lsamp	NA	NA	NA
Gm14772	NA	NA	NA
Hsp90ab1	NA	NA	NA
Sgca	NA	NA	NA
C4b	NA	NA	NA
Apba3	NA	NA	NA
Cox10	NA	NA	NA
Glul	NA	NA	NA
Sbno1	NA	NA	NA
Mrps30	NA	NA	NA
Adgrg4	NA	NA	NA
Fate1	NA	NA	NA
Gpr83	NA	NA	NA
Tmem119	NA	NA	NA
Mccc2	NA	NA	NA
Gm32828	NA	NA	NA
Ppp2r2c	NA	NA	NA
Pla2g4e	NA	NA	NA
Dzip3	NA	NA	NA
Mrps25	NA	NA	NA
Psen1	NA	NA	NA
Aars2	NA	NA	NA
Hs3st3b1	NA	NA	NA
Uqcrc2	NA	NA	NA
Igkv4-58	NA	NA	NA
Tmem185a	NA	NA	NA
Scin	NA	NA	NA
Gm14895	NA	NA	NA
Mycbp2	NA	NA	NA
Fam122b	NA	NA	NA
Coro2a	NA	NA	NA
Capn3	NA	NA	NA
Rtn3	NA	NA	NA
Tcp1	NA	NA	NA
Wnk2	NA	NA	NA
Tceal8	NA	NA	NA
H6pd	NA	NA	NA
Mylk3	NA	NA	NA
5730507A11Rik	NA	NA	NA
Ssxb2	NA	NA	NA
Sbk1	NA	NA	NA
Mpv17	NA	NA	NA
Uba1y-ps2	NA	NA	NA
Etfb	NA	NA	NA
Gata3	NA	NA	NA
Rmnd1	NA	NA	NA
Daw1	NA	NA	NA
Coq6	NA	NA	NA
Slc25a19	NA	NA	NA
Gm25007	NA	NA	NA
Ipo13	NA	NA	NA
Aldh6a1	NA	NA	NA
Dld	NA	NA	NA
Slc25a39	NA	NA	NA
Cyc1	NA	NA	NA
Adh5	NA	NA	NA
Gm15433	NA	NA	NA
Gm17477	NA	NA	NA
Alms1-ps2	NA	NA	NA
Rbbp5	NA	NA	NA
Gm47424	NA	NA	NA
Spryd4	NA	NA	NA
Kmt5a	NA	NA	NA
Hadh	NA	NA	NA
Gm37936	NA	NA	NA
Gm44901	NA	NA	NA
Amz2	NA	NA	NA
Impact	NA	NA	NA
Nipal3	NA	NA	NA
Fntb	NA	NA	NA
Arhgap9	NA	NA	NA
4933411O13Rik	NA	NA	NA
Cep250	NA	NA	NA
Samm50	NA	NA	NA
Gli3	NA	NA	NA
Atp6v0c	NA	NA	NA
Uckl1	NA	NA	NA
Tmem59	NA	NA	NA
Suclg1	NA	NA	NA
Htra1	NA	NA	NA
Zcchc8	NA	NA	NA
Npr3	NA	NA	NA
Scarb1	NA	NA	NA
Il13ra2	NA	NA	NA
Wipi1	NA	NA	NA
Rbm41	NA	NA	NA
Neurod4	NA	NA	NA
Tmem126b	NA	NA	NA
Mrpl35	NA	NA	NA
Dram1	NA	NA	NA
Lpin1	NA	NA	NA
Magix	NA	NA	NA
Aqp1	NA	NA	NA
Ttl	NA	NA	NA
4930519A11Rik	NA	NA	NA
Cd74	NA	NA	NA
Pop4	NA	NA	NA
Mlip	NA	NA	NA
Cops3	NA	NA	NA
A530076I17Rik	NA	NA	NA
Il1rapl2	NA	NA	NA
Sgms1	NA	NA	NA
Trav3-4	NA	NA	NA
Egr1	NA	NA	NA
Ryr2	NA	NA	NA
Capn7	NA	NA	NA
Stx5a	NA	NA	NA
Btbd2	NA	NA	NA
Poli	NA	NA	NA
Ltbp2	NA	NA	NA
Rnf128	NA	NA	NA
Cdh18	NA	NA	NA
Adk	NA	NA	NA
Gm14911	NA	NA	NA
H2-Ab1	NA	NA	NA
Dcx	NA	NA	NA
Gm44620	NA	NA	NA
Gm6109	NA	NA	NA
4932414J04Rik	NA	NA	NA
Rhoh	NA	NA	NA
Gm14780	NA	NA	NA
Ndufa10	NA	NA	NA
Fnta	NA	NA	NA
Dhrs11	NA	NA	NA
Fh1	NA	NA	NA
Lrrtm2	NA	NA	NA
Tprgl	NA	NA	NA
Maea	NA	NA	NA
Hps6	NA	NA	NA
Ppargc1a	NA	NA	NA
Klhl21	NA	NA	NA
Osr1	NA	NA	NA
Rpn2	NA	NA	NA
Lrmda	NA	NA	NA
Snap23	NA	NA	NA
Exoc7	NA	NA	NA
Csde1	NA	NA	NA
Tal2	NA	NA	NA
Slc25a13	NA	NA	NA
Cd320	NA	NA	NA
Smarca5-ps	NA	NA	NA
Myof	NA	NA	NA
Herpud1	NA	NA	NA
Paqr4	NA	NA	NA
2210016F16Rik	NA	NA	NA
Hs3st1	NA	NA	NA
Vmn2r5	NA	NA	NA
Ccl8	NA	NA	NA
Pdia3	NA	NA	NA
Cyp2a22	NA	NA	NA
A930014E10Rik	NA	NA	NA
Tgfbi	NA	NA	NA
Gm20617	NA	NA	NA
Fgl1	NA	NA	NA
Corin	NA	NA	NA
Olfr271-ps1	NA	NA	NA
Klrb1	NA	NA	NA
Cntln	NA	NA	NA
Ppif	NA	NA	NA
H2-DMb1	NA	NA	NA
Rtp4	NA	NA	NA
Zdhhc15	NA	NA	NA
Gm37598	NA	NA	NA
Amtn	NA	NA	NA
Rab2a	NA	NA	NA
Zmat4	NA	NA	NA
Gabrq	NA	NA	NA
Gm27252	NA	NA	NA
Arhgap10	NA	NA	NA
Ms4a4c	NA	NA	NA
Slc25a11	NA	NA	NA
Gm6771	NA	NA	NA
Trmt10c	NA	NA	NA
Lman2	NA	NA	NA
Cd226	NA	NA	NA
Sgta	NA	NA	NA
Prox2	NA	NA	NA
Acads	NA	NA	NA
Zfp953	NA	NA	NA
Nphp3	NA	NA	NA
Gm6325	NA	NA	NA
Snx18	NA	NA	NA
1700006A11Rik	NA	NA	NA
Map10	NA	NA	NA
Ppp1ca	NA	NA	NA
Dus3l	NA	NA	NA
Dmac2	NA	NA	NA
Asb8	NA	NA	NA
U2surp	NA	NA	NA
Klhl13	NA	NA	NA
Atp5a1	NA	NA	NA
Eef1akmt1	NA	NA	NA
Bag1	NA	NA	NA
Aifm1	NA	NA	NA
Chst4	NA	NA	NA
Gm4929	NA	NA	NA
Ildr2	NA	NA	NA
Lrtm1	NA	NA	NA
Tmem82	NA	NA	NA
Mrpl3	NA	NA	NA
Pex19	NA	NA	NA
Lmcd1	NA	NA	NA
Mrrf	NA	NA	NA
Olfr1193	NA	NA	NA
Ptgs2	NA	NA	NA
Ncln	NA	NA	NA
Gm19589	NA	NA	NA
Cct5	NA	NA	NA
Olfr465-ps1	NA	NA	NA
Gm38376	NA	NA	NA
Pamr1	NA	NA	NA
Ahsa1	NA	NA	NA
Gm14033	NA	NA	NA
Agpat2	NA	NA	NA
Rnf114	NA	NA	NA
Mospd1	NA	NA	NA
Gpr18	NA	NA	NA
Idua	NA	NA	NA
Arl8b	NA	NA	NA
Gpr180	NA	NA	NA
Sh2b1	NA	NA	NA
D130017N08Rik	NA	NA	NA
Ubash3b	NA	NA	NA
Preb	NA	NA	NA
Ubl4a	NA	NA	NA
Rnf213	NA	NA	NA
Noa1	NA	NA	NA
Mtch2	NA	NA	NA
Prl3c1	NA	NA	NA
1700030E10Rik	NA	NA	NA
Mrpl37	NA	NA	NA
Atp1b1	NA	NA	NA
Capzb	NA	NA	NA
Gpnmb	NA	NA	NA
Gm28649	NA	NA	NA
Gm6377	NA	NA	NA
Acaa2	NA	NA	NA
Sytl4	NA	NA	NA
Gm5934	NA	NA	NA
Hibadh	NA	NA	NA
Urod	NA	NA	NA
Gm48691	NA	NA	NA
Lgi2	NA	NA	NA
Olfr630	NA	NA	NA
Mdh1	NA	NA	NA
Afg3l2	NA	NA	NA
Tmem50b	NA	NA	NA
Ms4a4b	NA	NA	NA
Hspa5	NA	NA	NA
Tppp3	NA	NA	NA
Gm6586	NA	NA	NA
Olfr1499	NA	NA	NA
Gm45788	NA	NA	NA
Snx21	NA	NA	NA
Rxrg	NA	NA	NA
Pak3	NA	NA	NA
Vmn2r124	NA	NA	NA
Rxrb	NA	NA	NA
Ppp5c	NA	NA	NA
Dock2	NA	NA	NA
Ostc	NA	NA	NA
Timm50	NA	NA	NA
Coasy	NA	NA	NA
Gm21874	NA	NA	NA
Uqcc1	NA	NA	NA
Olfr195	NA	NA	NA
Gm9871	NA	NA	NA
Hdhd2	NA	NA	NA
Aspa	NA	NA	NA
Ube2n	NA	NA	NA
Poldip2	NA	NA	NA
Gm6230	NA	NA	NA
Clec3b	NA	NA	NA
Acer3	NA	NA	NA
Idh3g	NA	NA	NA
2310040G24Rik	NA	NA	NA
Msi1	NA	NA	NA
Magt1	NA	NA	NA
Ndufa9	NA	NA	NA
Adamtsl2	NA	NA	NA
Itga4	NA	NA	NA
Pgm2	NA	NA	NA
Car14	NA	NA	NA
Zdhhc19	NA	NA	NA
Grb14	NA	NA	NA
Ndufs2	NA	NA	NA
Ncoa7	NA	NA	NA
Spn	NA	NA	NA
Fbxo32	NA	NA	NA
Pef1	NA	NA	NA
Vdac3	NA	NA	NA
9430053O09Rik	NA	NA	NA
Sec31a	NA	NA	NA
Sf3b3	NA	NA	NA
Pgap2	NA	NA	NA
Pex11a	NA	NA	NA
Smlr1	NA	NA	NA
Lair1	NA	NA	NA
Mmp25	NA	NA	NA
Gm45405	NA	NA	NA
Pgam2	NA	NA	NA
Gm7040	NA	NA	NA
Elmod3	NA	NA	NA
Zfp326	NA	NA	NA
Flt3	NA	NA	NA
Rab35	NA	NA	NA
Emb	NA	NA	NA
Ap3d1	NA	NA	NA
St13	NA	NA	NA
Olfr872	NA	NA	NA
Pcca	NA	NA	NA
Gm7054	NA	NA	NA
Gm44030	NA	NA	NA
Dnpep	NA	NA	NA
Mdh2	NA	NA	NA
Abca12	NA	NA	NA
Cadps2	NA	NA	NA
D030056L22Rik	NA	NA	NA
Mrpl11	NA	NA	NA
Flywch1	NA	NA	NA
Fahd1	NA	NA	NA
Fgl2	NA	NA	NA
Olfr1300-ps1	NA	NA	NA
Gm16299	NA	NA	NA
Gm43487	NA	NA	NA
Bsg	NA	NA	NA
Raver2	NA	NA	NA
Gm37236	NA	NA	NA
Card11	NA	NA	NA
Efcab2	NA	NA	NA
4930456G14Rik	NA	NA	NA
Grap2	NA	NA	NA
Tmem109	NA	NA	NA
Clpb	NA	NA	NA
Slc6a5	NA	NA	NA
Gm38071	NA	NA	NA
Psg29	NA	NA	NA
Gm47696	NA	NA	NA
Cpq	NA	NA	NA
Iglc2	NA	NA	NA
Gm10440	NA	NA	NA
Casp1	NA	NA	NA
Gm45194	NA	NA	NA
Narf	NA	NA	NA
Pof1b	NA	NA	NA
Acad8	NA	NA	NA
Crtac1	NA	NA	NA
Rps2	NA	NA	NA
Gm37611	NA	NA	NA
Gm45516	NA	NA	NA
Fth-ps2	NA	NA	NA
Nrg4	NA	NA	NA
Sla	NA	NA	NA
Tie1	NA	NA	NA
Sf3b2	NA	NA	NA
Rhbdl2	NA	NA	NA
Gm5087	NA	NA	NA
Zkscan5	NA	NA	NA
Prkar2a	NA	NA	NA
Tpra1	NA	NA	NA
Klhl33	NA	NA	NA
Golm1	NA	NA	NA
Qsox2	NA	NA	NA
Apol9a	NA	NA	NA
Gm28359	NA	NA	NA
Rab6a	NA	NA	NA
Sox11	NA	NA	NA
Ncoa5	NA	NA	NA
Pik3r5	NA	NA	NA
Grk4	NA	NA	NA
Klra10	NA	NA	NA
Nploc4	NA	NA	NA
Bmp15	NA	NA	NA
Sh2d4a	NA	NA	NA
Fetub	NA	NA	NA
Mgmt	NA	NA	NA
Myzap	NA	NA	NA
Gm43230	NA	NA	NA
Tmem120a	NA	NA	NA
Ndnf	NA	NA	NA
Etnppl	NA	NA	NA
Nlgn3	NA	NA	NA
Peli3	NA	NA	NA
Des	NA	NA	NA
Gm45379	NA	NA	NA
Gm38375	NA	NA	NA
Rabl3	NA	NA	NA
Tceal3	NA	NA	NA
Mpnd	NA	NA	NA
Sval3	NA	NA	NA
Cytip	NA	NA	NA
Hrc	NA	NA	NA
Gm14401	NA	NA	NA
Akirin2	NA	NA	NA
Dnajb9	NA	NA	NA
Ccdc97	NA	NA	NA
Rnf24	NA	NA	NA
Fbxo3	NA	NA	NA
Ifi209	NA	NA	NA
Idh3b	NA	NA	NA
Gm42966	NA	NA	NA
Gm37184	NA	NA	NA
Gm33045	NA	NA	NA
Smco1	NA	NA	NA
Lrfn5	NA	NA	NA
4930459L07Rik	NA	NA	NA
Atp8b1	NA	NA	NA
Lcp1	NA	NA	NA
Tas2r126	NA	NA	NA
